ccik	na
aláhajlik	aláhajolna
alapszik	alapozna
alszik	aludna
áramlik	áramolna
átsejlik	átsejelne
bagzik	bagozna
behajlik	behajolna
bicsaklik	bicsakolna
bomlik	bomolna
botlik	botolna
burjánzik	burjánozna
bűzlik	bűzölne
cselekszik	cselekedne
csetlik	csetelne
csillámlik	csillámolna
csillapszik	csillapodna
csömörlik	csömörülne
csuklik	csukolna
csuszamlik	csuszamolna
dicsekszik	dicsekedne
díszlik	díszelne
döglik	dögölne
elégszik	elégedne
elhajlik	elhajolna
előrehajlik	előrehajolna
elporzik	elporozna
emlékszik	emlékezne
fajzik	fajozna
fehérlik	fehérelne
fejlik	fejelne
fekszik	feküdne
félrehajlik	félrehajolna
felsejlik	felsejelne
feslik	feselne
fogamzik	fogamozna
fogzik	fogazna
fölsejlik	fölsejelne
foszlik	foszolna
fuldoklik	fuldokolna
furakszik	furakodna
fürdik	fürödne
gyanakszik	gyanakodna
gyarapszik	gyarapodna
gyülemlik	gyülemelne
habzik	habozna
hajlik	hajolna
haldoklik	haldokolna
hámlik	hámolna
hangzik	hangozna
hanyatlik	hanyatolna
haragszik	haragudna
háramlik	háramolna
hasonlik	hasonulna
hátrahajlik	hátrahajolna
hírlik	hírelne
hólyagzik	hólyagozna
hullámzik	hullámozna
igyekszik	igyekezne
iramlik	iramolna
ivarzik	ivarozna
ízlik	ízelne
kéklik	kékelne
kihajlik	kihajolna
kimagaslik	kimagasodna
ködlik	ködölne
kotlik	kotolna
lecsillapszik	lecsillapodna
lehajlik	lehajolna
lélegzik	lélegezne
lúdbőrzik	lúdbőrözne
magaslik	magasodna
magzik	magozna
meghajlik	meghajolna
melegszik	melegedne
morajlik	morajolna
mosakszik	mosakodna
növekszik	növekedne
nyaklik	nyakolna
nyugszik	nyugodna
omlik	omolna
ömlik	ömölne
összhangzik	összhangozna
oszlik	oszolna
özönlik	özönölne
parázslik	parázsolna
párzik	pározna
patakzik	patakozna
pattogzik	pattogozna
piroslik	pirosolna
porzik	porozik
ráhajlik	ráhajolna
rajzik	rajozna
rejlik	rejelne
rémlik	rémelne
robajlik	robajolna
romlik	romolna
sárlik	sárolna
sejlik	sejelne
sereglik	seregelne
siklik	sikolna
sötétlik	sötételne
sugárzik	sugározna
szaglik	szagolna
szembeötlik	szembeötölne
szólamlik	szólamolna
szülemlik	szülemelne
szüremlik	szüremelne
tajtékzik	tajtékozna
telepszik	telepedne
tolakszik	tolakodna
törekszik	törekedne
tülekszik	tülekedne
tündöklik	tündökölne
türemlik	türemelne
ugrik	ugorna
ülepszik	ülepedne
verekszik	verekedne
vérengzik	vérengezne
vereslik	vereselne
vérzik	vérezne
veszekszik	veszekedne
vetekszik	vetekedne
viharzik	viharozna
világlik	világolna
villámlik	villámolna
virágzik	virágozna
visszahajlik	visszahajolna
visszhangzik	visszhangozna
vonaglik	vonagolna
vöröslik	vöröselne
zajlik	zajolna
