prompt_cc	prompt_cvc	suffix_ep	target_cc	target_cvc	tr_stem	tr_end	prompt_cc_tr	nsyl	tr	keep_enough_distance	keep_no_overlap
spéglik	spégezik	nek	spéglenek	spégeznek	spég	lik	spéglik	1	spéglik	TRUE	TRUE
spéglik	spégezik	tek	spégletek	spégeztek	spég	lik	spéglik	1	spéglik	TRUE	TRUE
spéglik	spégezik	ünk	spéglünk	spégezünk	spég	lik	spéglik	1	spéglik	TRUE	TRUE
sprüjzik	sprüjözik	nek	sprüjzenek	sprüjöznek	sprüj	zik	sprüjzik	1	sprüjzik	TRUE	TRUE
sprüjzik	sprüjözik	tek	sprüjzötök	sprüjöztök	sprüj	zik	sprüjzik	1	sprüjzik	TRUE	TRUE
sprüjzik	sprüjözik	ünk	sprüjzünk	sprüjözünk	sprüj	zik	sprüjzik	1	sprüjzik	TRUE	TRUE
frálaslik	frálasozik	nek	frálaslanak	frálasoznak	frálas	lik	frálaslik	2	frálaslik	TRUE	TRUE
frálaslik	frálasozik	tek	frálaslotok	frálasoztok	frálas	lik	frálaslik	2	frálaslik	TRUE	TRUE
frálaslik	frálasozik	ünk	frálaslunk	frálasozunk	frálas	lik	frálaslik	2	frálaslik	TRUE	TRUE
sztrajlik	sztrajozik	nek	sztrajlanak	sztrajoznak	ßtraj	lik	ßtrajlik	1	ßtrajlik	TRUE	TRUE
sztrajlik	sztrajozik	tek	sztrajlotok	sztrajoztok	ßtraj	lik	ßtrajlik	1	ßtrajlik	TRUE	TRUE
sztrajlik	sztrajozik	ünk	sztrajlunk	sztrajozunk	ßtraj	lik	ßtrajlik	1	ßtrajlik	TRUE	TRUE
válagzik	válagozik	nek	válagzanak	válagoznak	válag	zik	válagzik	2	válagzik	TRUE	TRUE
válagzik	válagozik	tek	válagzotok	válagoztok	válag	zik	válagzik	2	válagzik	TRUE	TRUE
válagzik	válagozik	ünk	válagzunk	válagozunk	válag	zik	válagzik	2	válagzik	TRUE	TRUE
hibágzik	hibágozik	nek	hibágzanak	hibágoznak	hibág	zik	hibágzik	2	hibágzik	FALSE	TRUE
hibágzik	hibágozik	tek	hibágzotok	hibágoztok	hibág	zik	hibágzik	2	hibágzik	FALSE	TRUE
hibágzik	hibágozik	ünk	hibágzunk	hibágozunk	hibág	zik	hibágzik	2	hibágzik	FALSE	TRUE
drűrzik	drűrözik	nek	drűrzenek	drűröznek	drűr	zik	drűrzik	1	drűrzik	TRUE	TRUE
drűrzik	drűrözik	tek	drűrzötök	drűröztök	drűr	zik	drűrzik	1	drűrzik	TRUE	TRUE
drűrzik	drűrözik	ünk	drűrzünk	drűrözünk	drűr	zik	drűrzik	1	drűrzik	TRUE	TRUE
ugorzik	ugorozik	nek	ugorzanak	ugoroznak	ugor	zik	ugorzik	2	ugorzik	TRUE	TRUE
ugorzik	ugorozik	tek	ugorzotok	ugoroztok	ugor	zik	ugorzik	2	ugorzik	TRUE	TRUE
ugorzik	ugorozik	ünk	ugorzunk	ugorozunk	ugor	zik	ugorzik	2	ugorzik	TRUE	TRUE
jalszik	jalodik	nek	jalszanak	jalodnak	jal	ßik	jalßik	1	jalßik	TRUE	FALSE
jalszik	jalodik	tek	jalszotok	jalodtok	jal	ßik	jalßik	1	jalßik	TRUE	FALSE
