tr	prompt	vowel_e	suffix_back	suffix_front	target_front	target_back
nivéz	nivéz	FALSE	ban	ben	nivézben	nivézban
nivéz	nivéz	FALSE	nak	nek	nivéznek	nivéznak
nivéz	nivéz	FALSE	nál	nél	nivéznél	nivéznál
vorßen	vorszen	TRUE	ban	ben	vorszenben	vorszenban
vorßen	vorszen	TRUE	nak	nek	vorszennek	vorszennak
vorßen	vorszen	TRUE	nál	nél	vorszennél	vorszennál
vindeßt	vindeszt	TRUE	ban	ben	vindesztben	vindesztban
vindeßt	vindeszt	TRUE	nak	nek	vindesztnek	vindesztnak
vindeßt	vindeszt	TRUE	nál	nél	vindesztnél	vindesztnál
trisén	trisén	FALSE	ban	ben	trisénben	trisénban
trisén	trisén	FALSE	nak	nek	trisénnek	trisénnak
trisén	trisén	FALSE	nál	nél	trisénnél	trisénnál
sapeg	sapeg	TRUE	ban	ben	sapegben	sapegban
sapeg	sapeg	TRUE	nak	nek	sapegnek	sapegnak
sapeg	sapeg	TRUE	nál	nél	sapegnél	sapegnál
prißtend	prisztend	TRUE	ban	ben	prisztendben	prisztendban
prißtend	prisztend	TRUE	nak	nek	prisztendnek	prisztendnak
prißtend	prisztend	TRUE	nál	nél	prisztendnél	prisztendnál
jartég	jartég	FALSE	ban	ben	jartégben	jartégban
jartég	jartég	FALSE	nak	nek	jartégnek	jartégnak
jartég	jartég	FALSE	nál	nél	jartégnél	jartégnál
kisméd	kisméd	FALSE	ban	ben	kismédben	kismédban
kisméd	kisméd	FALSE	nak	nek	kismédnek	kismédnak
kisméd	kisméd	FALSE	nál	nél	kismédnél	kismédnál
tálék	tálék	FALSE	ban	ben	tálékben	tálékban
tálék	tálék	FALSE	nak	nek	táléknek	táléknak
tálék	tálék	FALSE	nál	nél	táléknél	táléknál
tampéj	tampéj	FALSE	ban	ben	tampéjben	tampéjban
tampéj	tampéj	FALSE	nak	nek	tampéjnek	tampéjnak
tampéj	tampéj	FALSE	nál	nél	tampéjnél	tampéjnál
dutec	dutec	TRUE	ban	ben	dutecben	dutecban
dutec	dutec	TRUE	nak	nek	dutecnek	dutecnak
dutec	dutec	TRUE	nál	nél	dutecnél	dutecnál
spukéj	spukéj	FALSE	ban	ben	spukéjben	spukéjban
spukéj	spukéj	FALSE	nak	nek	spukéjnek	spukéjnak
spukéj	spukéj	FALSE	nál	nél	spukéjnél	spukéjnál
kortéz	kortéz	FALSE	ban	ben	kortézben	kortézban
kortéz	kortéz	FALSE	nak	nek	kortéznek	kortéznak
kortéz	kortéz	FALSE	nál	nél	kortéznél	kortéznál
spizec	spizec	TRUE	ban	ben	spizecben	spizecban
spizec	spizec	TRUE	nak	nek	spizecnek	spizecnak
spizec	spizec	TRUE	nál	nél	spizecnél	spizecnál
póre¬	pórely	TRUE	ban	ben	pórelyben	pórelyban
póre¬	pórely	TRUE	nak	nek	pórelynek	pórelynak
póre¬	pórely	TRUE	nál	nél	pórelynél	pórelynál
parec	parec	TRUE	ban	ben	parecben	parecban
parec	parec	TRUE	nak	nek	parecnek	parecnak
parec	parec	TRUE	nál	nél	parecnél	parecnál
çimen	csimen	TRUE	ban	ben	csimenben	csimenban
çimen	csimen	TRUE	nak	nek	csimennek	csimennak
çimen	csimen	TRUE	nál	nél	csimennél	csimennál
konvem	konvem	TRUE	ban	ben	konvemben	konvemban
konvem	konvem	TRUE	nak	nek	konvemnek	konvemnak
konvem	konvem	TRUE	nál	nél	konvemnél	konvemnál
gicéj	gicéj	FALSE	ban	ben	gicéjben	gicéjban
gicéj	gicéj	FALSE	nak	nek	gicéjnek	gicéjnak
gicéj	gicéj	FALSE	nál	nél	gicéjnél	gicéjnál
májér	májér	FALSE	ban	ben	májérben	májérban
májér	májér	FALSE	nak	nek	májérnek	májérnak
májér	májér	FALSE	nál	nél	májérnél	májérnál
híleßt	híleszt	TRUE	ban	ben	hílesztben	hílesztban
híleßt	híleszt	TRUE	nak	nek	hílesztnek	hílesztnak
híleßt	híleszt	TRUE	nál	nél	hílesztnél	hílesztnál
norßét	norszét	FALSE	ban	ben	norszétben	norszétban
norßét	norszét	FALSE	nak	nek	norszétnek	norszétnak
norßét	norszét	FALSE	nál	nél	norszétnél	norszétnál
jábéz	jábéz	FALSE	ban	ben	jábézben	jábézban
jábéz	jábéz	FALSE	nak	nek	jábéznek	jábéznak
jábéz	jábéz	FALSE	nál	nél	jábéznél	jábéznál
ßitem	szitem	TRUE	ban	ben	szitemben	szitemban
ßitem	szitem	TRUE	nak	nek	szitemnek	szitemnak
ßitem	szitem	TRUE	nál	nél	szitemnél	szitemnál
pukes	pukes	TRUE	ban	ben	pukesben	pukesban
pukes	pukes	TRUE	nak	nek	pukesnek	pukesnak
pukes	pukes	TRUE	nál	nél	pukesnél	pukesnál
monveg	monveg	TRUE	ban	ben	monvegben	monvegban
monveg	monveg	TRUE	nak	nek	monvegnek	monvegnak
monveg	monveg	TRUE	nál	nél	monvegnél	monvegnál
klájes	klájes	TRUE	ban	ben	klájesben	klájesban
klájes	klájes	TRUE	nak	nek	klájesnek	klájesnak
klájes	klájes	TRUE	nál	nél	klájesnél	klájesnál
vár¥elt	várnyelt	TRUE	ban	ben	várnyeltben	várnyeltban
vár¥elt	várnyelt	TRUE	nak	nek	várnyeltnek	várnyeltnak
vár¥elt	várnyelt	TRUE	nál	nél	várnyeltnél	várnyeltnál
durnem	durnem	TRUE	ban	ben	durnemben	durnemban
durnem	durnem	TRUE	nak	nek	durnemnek	durnemnak
durnem	durnem	TRUE	nál	nél	durnemnél	durnemnál
káléz	káléz	FALSE	ban	ben	kálézben	kálézban
káléz	káléz	FALSE	nak	nek	káléznek	káléznak
káléz	káléz	FALSE	nál	nél	káléznél	káléznál
brimék	brimék	FALSE	ban	ben	brimékben	brimékban
brimék	brimék	FALSE	nak	nek	briméknek	briméknak
brimék	brimék	FALSE	nál	nél	briméknél	briméknál
malted	malted	TRUE	ban	ben	maltedben	maltedban
malted	malted	TRUE	nak	nek	maltednek	maltednak
malted	malted	TRUE	nál	nél	maltednél	maltednál
bruped	bruped	TRUE	ban	ben	brupedben	brupedban
bruped	bruped	TRUE	nak	nek	brupednek	brupednak
bruped	bruped	TRUE	nál	nél	brupednél	brupednál
mutév	mutév	FALSE	ban	ben	mutévben	mutévban
mutév	mutév	FALSE	nak	nek	mutévnek	mutévnak
mutév	mutév	FALSE	nál	nél	mutévnél	mutévnál
zurdec	zurdec	TRUE	ban	ben	zurdecben	zurdecban
zurdec	zurdec	TRUE	nak	nek	zurdecnek	zurdecnak
zurdec	zurdec	TRUE	nál	nél	zurdecnél	zurdecnál
giné¬	ginély	FALSE	ban	ben	ginélyben	ginélyban
giné¬	ginély	FALSE	nak	nek	ginélynek	ginélynak
giné¬	ginély	FALSE	nál	nél	ginélynél	ginélynál
supé¬	supély	FALSE	ban	ben	supélyben	supélyban
supé¬	supély	FALSE	nak	nek	supélynek	supélynak
supé¬	supély	FALSE	nál	nél	supélynél	supélynál
brodét	brodét	FALSE	ban	ben	brodétben	brodétban
brodét	brodét	FALSE	nak	nek	brodétnek	brodétnak
brodét	brodét	FALSE	nál	nél	brodétnél	brodétnál
piheß	pihesz	TRUE	ban	ben	piheszben	piheszban
piheß	pihesz	TRUE	nak	nek	pihesznek	pihesznak
piheß	pihesz	TRUE	nál	nél	pihesznél	pihesznál
ßaved	szaved	TRUE	ban	ben	szavedben	szavedban
ßaved	szaved	TRUE	nak	nek	szavednek	szavednak
ßaved	szaved	TRUE	nál	nél	szavednél	szavednál
sodég	sodég	FALSE	ban	ben	sodégben	sodégban
sodég	sodég	FALSE	nak	nek	sodégnek	sodégnak
sodég	sodég	FALSE	nál	nél	sodégnél	sodégnál
biséj	biséj	FALSE	ban	ben	biséjben	biséjban
biséj	biséj	FALSE	nak	nek	biséjnek	biséjnak
biséj	biséj	FALSE	nál	nél	biséjnél	biséjnál
vínet	vínet	TRUE	ban	ben	vínetben	vínetban
vínet	vínet	TRUE	nak	nek	vínetnek	vínetnak
vínet	vínet	TRUE	nál	nél	vínetnél	vínetnál
dismén	dismén	FALSE	ban	ben	disménben	disménban
dismén	dismén	FALSE	nak	nek	disménnek	disménnak
dismén	dismén	FALSE	nál	nél	disménnél	disménnál
gampél	gampél	FALSE	ban	ben	gampélben	gampélban
gampél	gampél	FALSE	nak	nek	gampélnek	gampélnak
gampél	gampél	FALSE	nál	nél	gampélnél	gampélnál
ribens	ribens	TRUE	ban	ben	ribensben	ribensban
ribens	ribens	TRUE	nak	nek	ribensnek	ribensnak
ribens	ribens	TRUE	nál	nél	ribensnél	ribensnál
nuhét	nuhét	FALSE	ban	ben	nuhétben	nuhétban
nuhét	nuhét	FALSE	nak	nek	nuhétnek	nuhétnak
nuhét	nuhét	FALSE	nál	nél	nuhétnél	nuhétnál
tublens	tublens	TRUE	ban	ben	tublensben	tublensban
tublens	tublens	TRUE	nak	nek	tublensnek	tublensnak
tublens	tublens	TRUE	nál	nél	tublensnél	tublensnál
hatend	hatend	TRUE	ban	ben	hatendben	hatendban
hatend	hatend	TRUE	nak	nek	hatendnek	hatendnak
hatend	hatend	TRUE	nál	nél	hatendnél	hatendnál
lorzens	lorzens	TRUE	ban	ben	lorzensben	lorzensban
lorzens	lorzens	TRUE	nak	nek	lorzensnek	lorzensnak
lorzens	lorzens	TRUE	nál	nél	lorzensnél	lorzensnál
si¬éd	silyéd	FALSE	ban	ben	silyédben	silyédban
si¬éd	silyéd	FALSE	nak	nek	silyédnek	silyédnak
si¬éd	silyéd	FALSE	nál	nél	silyédnél	silyédnál
bárté¥	bártény	FALSE	ban	ben	bártényben	bártényban
bárté¥	bártény	FALSE	nak	nek	bárténynek	bárténynak
bárté¥	bártény	FALSE	nál	nél	bárténynél	bárténynál
princem	princem	TRUE	ban	ben	princemben	princemban
princem	princem	TRUE	nak	nek	princemnek	princemnak
princem	princem	TRUE	nál	nél	princemnél	princemnál
pordeßt	pordeszt	TRUE	ban	ben	pordesztben	pordesztban
pordeßt	pordeszt	TRUE	nak	nek	pordesztnek	pordesztnak
pordeßt	pordeszt	TRUE	nál	nél	pordesztnél	pordesztnál
tíkenc	tíkenc	TRUE	ban	ben	tíkencben	tíkencban
tíkenc	tíkenc	TRUE	nak	nek	tíkencnek	tíkencnak
tíkenc	tíkenc	TRUE	nál	nél	tíkencnél	tíkencnál
honßér	honszér	FALSE	ban	ben	honszérben	honszérban
honßér	honszér	FALSE	nak	nek	honszérnek	honszérnak
honßér	honszér	FALSE	nál	nél	honszérnél	honszérnál
zapelt	zapelt	TRUE	ban	ben	zapeltben	zapeltban
zapelt	zapelt	TRUE	nak	nek	zapeltnek	zapeltnak
zapelt	zapelt	TRUE	nál	nél	zapeltnél	zapeltnál
ßádét	szádét	FALSE	ban	ben	szádétben	szádétban
ßádét	szádét	FALSE	nak	nek	szádétnek	szádétnak
ßádét	szádét	FALSE	nál	nél	szádétnél	szádétnál
lice©	licegy	TRUE	ban	ben	licegyben	licegyban
lice©	licegy	TRUE	nak	nek	licegynek	licegynak
lice©	licegy	TRUE	nál	nél	licegynél	licegynál
klißer	kliszer	TRUE	ban	ben	kliszerben	kliszerban
klißer	kliszer	TRUE	nak	nek	kliszernek	kliszernak
klißer	kliszer	TRUE	nál	nél	kliszernél	kliszernál
dunkéß	dunkész	FALSE	ban	ben	dunkészben	dunkészban
dunkéß	dunkész	FALSE	nak	nek	dunkésznek	dunkésznak
dunkéß	dunkész	FALSE	nál	nél	dunkésznél	dunkésznál
síkert	síkert	TRUE	ban	ben	síkertben	síkertban
síkert	síkert	TRUE	nak	nek	síkertnek	síkertnak
síkert	síkert	TRUE	nál	nél	síkertnél	síkertnál
namék	namék	FALSE	ban	ben	namékben	namékban
namék	namék	FALSE	nak	nek	naméknek	naméknak
