form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	darab	base	derivational	suffix	nsyl	base_tr
alszana	4	al	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	221313766	8570080167	aludna	3486	0.00143389733295096	-6.5473591342415505	sz	alszik	szik	NA	1	alßik
alszani	5	al	[/V][Inf]	cselekszenek/cselekednek	221313766	8570080167	aludni	174630	3.435816092217304e-5	-10.278670986082384	sz	alszik	szik	NA	1	alßik
alszunk	19948	al	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	221313766	8570080167	aluszunk	154	128.70322580645163	4.857509178829164	sz	alszik	szik	ünk	1	alßik
alszotok	1079	al	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	221313766	8570080167	alusztok	417	2.583732057416268	0.9492348875935092	sz	alszik	szik	tek	1	alßik
alszanak	33579	al	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	221313766	8570080167	alusznak	2311	14.524221453287195	2.675817700839264	sz	alszik	szik	nek	1	alßik
áramlana	388	áram	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	13515798	8570080167	áramolna	201	1.9257425742574257	0.6553116462172415	l	áramlik	lik	NA	2	áramlik
áramlani	4182	áram	[/V][Inf]	cselekszenek/cselekednek	13515798	8570080167	áramolni	2624	1.5935238095238096	0.4659477964164743	l	áramlik	lik	NA	2	áramlik
áramlunk	170	áram	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	13515798	8570080167	áramolunk	3	42.75	3.755369195382769	l	áramlik	lik	ünk	2	áramlik
áramlotok	6	áram	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	13515798	8570080167	áramoltok	8	0.7777777777777778	-0.25131442828090605	l	áramlik	lik	tek	2	áramlik
áramlanak	7478	áram	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	13515798	8570080167	áramolnak	988	7.562184024266936	2.0231600405689556	l	áramlik	lik	nek	2	áramlik
áramlottak	2178	áram	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	13515798	8570080167	áramoltak	231	9.392241379310343	2.23988396327831	l	áramlik	lik	NA	2	áramlik
bagzana	4	bag	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	7065	8570080167	bagozna	2	1.6666666666666667	0.5108256237659907	z	bagzik	zik	NA	1	bagzik
bagzani	57	bag	[/V][Inf]	cselekszenek/cselekednek	7065	8570080167	bagozni	21	2.636363636363636	0.9694005571881036	z	bagzik	zik	NA	1	bagzik
bagzunk	2	bag	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	7065	8570080167	bagozunk	3	0.75	-0.2876820724517809	z	bagzik	zik	ünk	1	bagzik
bagzanak	57	bag	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	7065	8570080167	bagoznak	22	2.5217391304347827	0.9249487946172696	z	bagzik	zik	nek	1	bagzik
bagzottak	10	bag	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	7065	8570080167	bagoztak	13	0.7857142857142857	-0.2411620568168881	z	bagzik	zik	NA	1	bagzik
bicsaklani	17	bicsak	[/V][Inf]	cselekszenek/cselekednek	19938	8570080167	bicsakolni	1	9	2.1972245773362196	l	bicsaklik	lik	NA	2	biçaklik
bomlana	245	bom	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	3187048	8570080167	bomolna	16	14.470588235294118	2.6721181918761467	l	bomlik	lik	NA	1	bomlik
bomlani	2324	bom	[/V][Inf]	cselekszenek/cselekednek	3187048	8570080167	bomolni	63	36.328125	3.592592234661785	l	bomlik	lik	NA	1	bomlik
bomlunk	35	bom	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	3187048	8570080167	bomolunk	1	18	2.8903717578961645	l	bomlik	lik	ünk	1	bomlik
bomlotok	7	bom	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	3187048	8570080167	bomoltok	1	4	1.3862943611198906	l	bomlik	lik	tek	1	bomlik
bomlanak	9236	bom	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	3187048	8570080167	bomolnak	74	123.16	4.8134843230563	l	bomlik	lik	nek	1	bomlik
bomlottak	1223	bom	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	3187048	8570080167	bomoltak	23	51	3.9318256327243257	l	bomlik	lik	NA	1	bomlik
botlana	231	bot	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	2436908	8570080167	botolna	12	17.846153846153847	2.881788014204773	l	botlik	lik	NA	1	botlik
botlani	2473	bot	[/V][Inf]	cselekszenek/cselekednek	2436908	8570080167	botolni	64	38.06153846153846	3.639204283056796	l	botlik	lik	NA	1	botlik
botlunk	7040	bot	[/V][Prs.NDef.1Pl]	cselekszenek/cselekednek	2436908	8570080167	botolunk	4	1408.2	7.250067572085033	l	botlik	lik	ünk	1	botlik
botlotok	99	bot	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	2436908	8570080167	botoltok	18	5.2631578947368425	1.6607312068216509	l	botlik	lik	tek	1	botlik
botlanak	2172	bot	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	2436908	8570080167	botolnak	42	50.53488372093023	3.922663864562867	l	botlik	lik	nek	1	botlik
botlottak	1761	bot	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	2436908	8570080167	botoltak	8	195.77777777777777	5.276980229159905	l	botlik	lik	NA	1	botlik
burjánzana	17	burján	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	220729	8570080167	burjánozna	3	4.5	1.5040773967762742	z	burjánzik	zik	NA	2	burjánzik
burjánzani	719	burján	[/V][Inf]	cselekszenek/cselekednek	220729	8570080167	burjánozni	141	5.070422535211268	1.6234241544088404	z	burjánzik	zik	NA	2	burjánzik
