file_name	variation	column	list_number	base	log_odds	prompt	variant1	variant2	nsyl	suffix	sample_number	word_rank	top_20	bottom_20	reg_rate	reg_dist	esp_response
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	bejzik / bejezik	-0.06899287148695143	János imád bejezni, ezért sokat bejzik. Mi ritkán...	bejzünk	bejezünk	1	ünk	1	35	FALSE	FALSE	high	reversed	bejzünk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	bötőrzik / bötőrözik	0.3483066942682158	János imád bötőrözni, ezért sokat bötőrzik. Mi ritkán...	bötőrzünk	bötőrözünk	2	ünk	1	16	FALSE	FALSE	high	reversed	bötőrzünk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	breslik / bresezik	0.06899287148695142	János imád bresezni, ezért sokat breslik. Ők ritkán...	breslenek	breseznek	1	nek	1	27	FALSE	FALSE	high	reversed	breslenek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	bribaslik / bribasozik	-0.3483066942682157	János imád bribasozni, ezért sokat bribaslik. Ők ritkán...	bribaslanak	bribasoznak	2	nek	1	44	FALSE	TRUE	high	reversed	bribaslanak
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	bribékszik / bribékedik	-0.1941560144409575	János imád bribékedni, ezért sokat bribékszik. Ti ritkán...	bribékszetek	bribékedtek	2	tek	1	38	FALSE	FALSE	high	reversed	bribékszetek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	brűklik / brűközik	0.14310084364067324	János imád brűközni, ezért sokat brűklik. Ti ritkán...	brűklötök	brűköztök	1	tek	1	25	FALSE	FALSE	high	reversed	brűklötök
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	brürzik / brürözik	-0.1431008436406733	János imád brürözni, ezért sokat brürzik. Ők ritkán...	brürzenek	brüröznek	1	nek	1	37	FALSE	FALSE	high	reversed	brürzenek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	bügzik / bügözik	0.6418538861723947	János imád bügözni, ezért sokat bügzik. Ők ritkán...	bügzenek	bügöznek	1	nek	1	6	TRUE	FALSE	high	reversed	bügöznek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	dibáglik / dibágozik	0.1941560144409574	János imád dibágozni, ezért sokat dibáglik. Ti ritkán...	dibáglotok	dibágoztok	2	tek	1	23	FALSE	FALSE	high	reversed	dibáglotok
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	döjlik / döjözik	0.5877866649021191	János imád döjözni, ezért sokat döjlik. Ők ritkán...	döjlenek	döjöznek	1	nek	1	9	TRUE	FALSE	high	reversed	döjöznek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	dralágzik / dralágozik	0.4353180712578455	János imád dralágozni, ezért sokat dralágzik. Mi ritkán...	dralágzunk	dralágozunk	2	ünk	1	14	TRUE	FALSE	high	reversed	dralágozunk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	flátlik / flátozik	-0.2876820724517809	János imád flátozni, ezért sokat flátlik. Ti ritkán...	flátlotok	flátoztok	1	tek	1	41	FALSE	TRUE	high	reversed	flátlotok
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	flerékszik / flerékedik	0.32542240043462795	János imád flerékedni, ezért sokat flerékszik. Mi ritkán...	flerékszünk	flerékedünk	2	ünk	1	18	FALSE	FALSE	high	reversed	flerékszünk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	flodlik / flodozik	-0.325422400434628	János imád flodozni, ezért sokat flodlik. Ti ritkán...	flodlotok	flodoztok	1	tek	1	43	FALSE	TRUE	high	reversed	flodlotok
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	flugonylik / flugonyozik	0	János imád flugonyozni, ezért sokat flugonylik. Ők ritkán...	flugonylanak	flugonyoznak	2	nek	1	31	FALSE	FALSE	high	reversed	flugonylanak
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	frélegzik / frélegezik	0.7985076962177716	János imád frélegezni, ezért sokat frélegzik. Mi ritkán...	frélegzünk	frélegezünk	2	ünk	1	3	TRUE	FALSE	high	reversed	frélegezünk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	frinylik / frinyozik	-0.06899287148695143	János imád frinyozni, ezért sokat frinylik. Mi ritkán...	frinylunk	frinyozunk	1	ünk	1	36	FALSE	FALSE	high	reversed	frinylunk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	frirzik / frirozik	-0.3483066942682157	János imád frirozni, ezért sokat frirzik. Mi ritkán...	frirzunk	frirozunk	1	ünk	1	45	FALSE	TRUE	high	reversed	frirzunk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	frorlik / frorozik	0.49247648509779424	János imád frorozni, ezért sokat frorlik. Ők ritkán...	frorlanak	froroznak	1	nek	1	11	TRUE	FALSE	high	reversed	froroznak
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	géreglik / géregezik	-0.6418538861723948	János imád géregezni, ezért sokat géreglik. Ti ritkán...	géregletek	géregeztek	2	tek	1	51	FALSE	TRUE	high	reversed	géregletek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	gihamlik / gihamozik	0.32542240043462795	János imád gihamozni, ezért sokat gihamlik. Ők ritkán...	gihamlanak	gihamoznak	2	nek	1	19	FALSE	FALSE	high	reversed	gihamlanak
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	hiragzik / hiragozik	0.20763936477824457	János imád hiragozni, ezért sokat hiragzik. Ők ritkán...	hiragzanak	hiragoznak	2	nek	1	22	FALSE	FALSE	high	reversed	hiragzanak
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	hubonylik / hubonyozik	-0.5978370007556204	János imád hubonyozni, ezért sokat hubonylik. Ti ritkán...	hubonylotok	hubonyoztok	2	tek	1	50	FALSE	TRUE	high	reversed	hubonylotok
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	játlik / játozik	0.5978370007556204	János imád játozni, ezért sokat játlik. Mi ritkán...	játlunk	játozunk	1	ünk	1	8	TRUE	FALSE	high	reversed	játozunk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	jurlik / jurozik	0.06899287148695142	János imád jurozni, ezért sokat jurlik. Mi ritkán...	jurlunk	jurozunk	1	ünk	1	28	FALSE	FALSE	high	reversed	jurlunk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	kláragszik / kláragodik	0.28768207245178085	János imád kláragodni, ezért sokat kláragszik. Ti ritkán...	kláragszotok	kláragodtok	2	tek	1	20	FALSE	FALSE	high	reversed	kláragszotok
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	kléglik / klégezik	0.4353180712578455	János imád klégezni, ezért sokat kléglik. Mi ritkán...	kléglünk	klégezünk	1	ünk	1	15	TRUE	FALSE	high	reversed	klégezünk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	klihaslik / klihasozik	-0.2076393647782445	János imád klihasozni, ezért sokat klihaslik. Ti ritkán...	klihaslotok	klihasoztok	2	tek	1	40	FALSE	TRUE	high	reversed	klihaslotok
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	klűmlik / klűmözik	-0.4595323293784402	János imád klűmözni, ezért sokat klűmlik. Ti ritkán...	klűmlötök	klűmöztök	1	tek	1	48	FALSE	TRUE	high	reversed	klűmlötök
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	metégszik / metégedik	0.06453852113757116	János imád metégedni, ezért sokat metégszik. Ők ritkán...	metégszenek	metégednek	2	nek	1	30	FALSE	FALSE	high	reversed	metégszenek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	nivárzik / nivározik	-0.916290731874155	János imád nivározni, ezért sokat nivárzik. Ti ritkán...	nivárzotok	nivároztok	2	tek	1	54	FALSE	TRUE	high	reversed	nivárzotok
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	nuroklik / nurokozik	0.7419373447293773	János imád nurokozni, ezért sokat nuroklik. Mi ritkán...	nuroklunk	nurokozunk	2	ünk	1	5	TRUE	FALSE	high	reversed	nurokozunk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	nyádlik / nyádozik	0.4595323293784402	János imád nyádozni, ezért sokat nyádlik. Ők ritkán...	nyádlanak	nyádoznak	1	nek	1	13	TRUE	FALSE	high	reversed	nyádoznak
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	nyizlik / nyizozik	0.6418538861723947	János imád nyizozni, ezért sokat nyizlik. Mi ritkán...	nyizlunk	nyizozunk	1	ünk	1	7	TRUE	FALSE	high	reversed	nyizozunk
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	nyöbzik / nyöbözik	-0.06453852113757118	János imád nyöbözni, ezért sokat nyöbzik. Ők ritkán...	nyöbzenek	nyöböznek	1	nek	1	34	FALSE	FALSE	high	reversed	nyöbzenek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	nyülöklik / nyülöközik	0.3483066942682158	János imád nyülöközni, ezért sokat nyülöklik. Ők ritkán...	nyülöklenek	nyülököznek	2	nek	1	17	FALSE	FALSE	high	reversed	nyülöklenek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	pibegzik / pibegezik	-0.7472144018302211	János imád pibegezni, ezért sokat pibegzik. Ők ritkán...	pibegzenek	pibegeznek	2	nek	1	52	FALSE	TRUE	high	reversed	pibegzenek
cselekszenek_1_high_reversed	cselekszenek/cselekednek	1	0	plibzik / plibozik	-0.49247648509779407	János imád plibozni, ezért sokat plibzik. Ti ritkán...	plibzotok	pliboztok	1	tek	1	49	FALSE	TRUE	high	reversed	plibzotok
