word	category	variation	szo
tanév	tilt_freq2	hotelban/hotelben	tanév
háttér	tilt_freq2	hotelban/hotelben	háttér
koncert	tilt_freq2	hotelban/hotelben	koncert
projekt	tilt_freq2	hotelban/hotelben	projekt
modell	tilt_freq2	hotelban/hotelben	modell
ßoftver	tilt_freq2	hotelban/hotelben	szoftver
korrekt	tilt_freq2	hotelban/hotelben	korrekt
duett	tilt_freq2	hotelban/hotelben	duett
sláger	tilt_freq2	hotelban/hotelben	sláger
partner	tilt_freq2	hotelban/hotelben	partner
Ωáner	tilt_freq2	hotelban/hotelben	zsáner
bróker	tilt_freq2	hotelban/hotelben	bróker
kvartett	tilt_freq2	hotelban/hotelben	kvartett
hardver	tilt_freq2	hotelban/hotelben	hardver
poßter	tilt_freq2	hotelban/hotelben	poszter
kábel	tilt_freq2	hotelban/hotelben	kábel
tranßfer	tilt_freq2	hotelban/hotelben	transzfer
póker	tilt_freq2	hotelban/hotelben	póker
kráter	tilt_freq2	hotelban/hotelben	kráter
rubel	tilt_freq2	hotelban/hotelben	rubel
dΩungel	tilt_freq2	hotelban/hotelben	dzsungel
konvent	tilt_freq2	hotelban/hotelben	konvent
advent	tilt_freq2	hotelban/hotelben	advent
kókler	tilt_freq2	hotelban/hotelben	kókler
rulett	tilt_freq2	hotelban/hotelben	rulett
moped	tilt_freq2	hotelban/hotelben	moped
roller	tilt_freq2	hotelban/hotelben	roller
púder	tilt_freq2	hotelban/hotelben	púder
amper	tilt_freq2	hotelban/hotelben	amper
raßter	tilt_freq2	hotelban/hotelben	raszter
makett	tilt_freq2	hotelban/hotelben	makett
puffer	tilt_freq2	hotelban/hotelben	puffer
páter	tilt_freq2	hotelban/hotelben	páter
parkett	tilt_freq2	hotelban/hotelben	parkett
hotel	tilt_freq2	hotelban/hotelben	hotel
paßtell	tilt_freq2	hotelban/hotelben	pasztell
fráter	tilt_freq2	hotelban/hotelben	fráter
kartell	tilt_freq2	hotelban/hotelben	kartell
sólet	tilt_freq2	hotelban/hotelben	sólet
bankett	tilt_freq2	hotelban/hotelben	bankett
barter	NA	hotelban/hotelben	barter
láger	NA	hotelban/hotelben	láger
bojler	NA	hotelban/hotelben	bojler
skanzen	NA	hotelban/hotelben	skanzen
mater	NA	hotelban/hotelben	mater
korner	NA	hotelban/hotelben	korner
káder	NA	hotelban/hotelben	káder
stukker	NA	hotelban/hotelben	stukker
Ωakett	NA	hotelban/hotelben	zsakett
falzett	NA	hotelban/hotelben	falzett
pakett	NA	hotelban/hotelben	pakett
bunker	NA	hotelban/hotelben	bunker
motel	NA	hotelban/hotelben	motel
tróger	NA	hotelban/hotelben	tróger
kukker	NA	hotelban/hotelben	kukker
dózer	NA	hotelban/hotelben	dózer
sóder	NA	hotelban/hotelben	sóder
sparhelt	NA	hotelban/hotelben	sparhelt
koffer	NA	hotelban/hotelben	koffer
kóser	NA	hotelban/hotelben	kóser
sparherd	NA	hotelban/hotelben	sparherd
noteß	NA	hotelban/hotelben	notesz
