trial_type,response,trial_kind,rt,choices,list_number,trial_index,stimulus,esp_response,response_string,esp_match
survey-text,"{""Q0"":""5f9eb8c1c1dc8505f5f1bcd4"",""Q1"":""férfi"",""Q2"":""1998"",""Q3"":""17""}",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,esp trial,71,"[""flehénylem"",""flehénylek""]",6,8,Te bizony sokat flehénylesz. Én is sokat...,flehénylem,flehénylek,0
NA,1,esp trial,64,"[""filágzok"",""filágzom""]",6,10,Te bizony sokat filágzol. Én is sokat...,filágzok,filágzom,0
NA,1,esp trial,83,"[""frodlok"",""frodlom""]",6,12,Te bizony sokat frodlasz. Én is sokat...,frodlom,frodlom,1
NA,1,esp trial,61,"[""flátszom"",""flátszok""]",6,14,Te bizony sokat flátszol. Én is sokat...,flátszok,flátszom,0
NA,0,esp trial,63,"[""klivaslom"",""klivaslok""]",6,16,Te bizony sokat klivaslasz. Én is sokat...,klivaslom,klivaslok,0
NA,1,esp trial,53,"[""narádzok"",""narádzom""]",6,18,Te bizony sokat narádzol. Én is sokat...,narádzok,narádzom,0
NA,0,esp trial,87,"[""pribemlek"",""pribemlem""]",6,20,Te bizony sokat pribemlesz. Én is sokat...,pribemlem,pribemlek,0
NA,0,esp trial,60,"[""flitlok"",""flitlom""]",6,22,Te bizony sokat flitlasz. Én is sokat...,flitlom,flitlok,0
NA,1,esp trial,78,"[""bivégszek"",""bivégszem""]",6,24,Te bizony sokat bivégszel. Én is sokat...,bivégszek,bivégszem,0
NA,1,esp trial,86,"[""salárzok"",""salárzom""]",6,26,Te bizony sokat salárzol. Én is sokat...,salárzom,salárzom,1
NA,1,esp trial,81,"[""ibékszem"",""ibékszek""]",6,28,Te bizony sokat ibékszel. Én is sokat...,ibékszek,ibékszem,0
NA,1,esp trial,57,"[""szibánylom"",""szibánylok""]",6,30,Te bizony sokat szibánylasz. Én is sokat...,szibánylom,szibánylom,1
NA,1,esp trial,96,"[""pítszom"",""pítszok""]",6,32,Te bizony sokat pítszol. Én is sokat...,pítszok,pítszom,0
NA,1,esp trial,67,"[""hűgzök"",""hűgzöm""]",6,34,Te bizony sokat hűgzöl. Én is sokat...,hűgzöm,hűgzöm,1
NA,1,esp trial,69,"[""vülődzöm"",""vülődzök""]",6,36,Te bizony sokat vülődzöl. Én is sokat...,vülődzöm,vülődzöm,1
NA,1,esp trial,85,"[""spüjzöm"",""spüjzök""]",6,38,Te bizony sokat spüjzöl. Én is sokat...,spüjzöm,spüjzöm,1
NA,1,esp trial,88,"[""düjzök"",""düjzöm""]",6,40,Te bizony sokat düjzöl. Én is sokat...,düjzöm,düjzöm,1
NA,1,esp trial,99,"[""lörűdzöm"",""lörűdzök""]",6,42,Te bizony sokat lörűdzöl. Én is sokat...,lörűdzöm,lörűdzöm,1
NA,1,esp trial,69,"[""plűbzöm"",""plűbzök""]",6,44,Te bizony sokat plűbzöl. Én is sokat...,plűbzöm,plűbzöm,1
NA,1,esp trial,67,"[""trehégszek"",""trehégszem""]",6,46,Te bizony sokat trehégszel. Én is sokat...,trehégszek,trehégszem,0
NA,1,esp trial,62,"[""brivegzek"",""brivegzem""]",6,48,Te bizony sokat brivegzel. Én is sokat...,brivegzek,brivegzem,0
NA,1,esp trial,55,"[""sztrozlok"",""sztrozlom""]",6,50,Te bizony sokat sztrozlasz. Én is sokat...,sztrozlom,sztrozlom,1
NA,1,esp trial,64,"[""spülűdzök"",""spülűdzöm""]",6,52,Te bizony sokat spülűdzöl. Én is sokat...,spülűdzöm,spülűdzöm,1
NA,1,esp trial,61,"[""treglem"",""treglek""]",6,54,Te bizony sokat treglesz. Én is sokat...,treglem,treglem,1
NA,1,esp trial,77,"[""sztrijzok"",""sztrijzom""]",6,56,Te bizony sokat sztrijzol. Én is sokat...,sztrijzom,sztrijzom,1
NA,1,esp trial,73,"[""nűröklöm"",""nűröklök""]",6,58,Te bizony sokat nűröklesz. Én is sokat...,nűröklöm,nűröklöm,1
NA,1,esp trial,86,"[""rokszom"",""rokszok""]",6,60,Te bizony sokat rokszol. Én is sokat...,rokszok,rokszom,0
NA,1,esp trial,96,"[""bűtszöm"",""bűtszök""]",6,62,Te bizony sokat bűtszöl. Én is sokat...,bűtszöm,bűtszöm,1
NA,1,esp trial,72,"[""gyibeslek"",""gyibeslem""]",6,64,Te bizony sokat gyibeslesz. Én is sokat...,gyibeslem,gyibeslem,1
NA,1,esp trial,83,"[""jonylom"",""jonylok""]",6,66,Te bizony sokat jonylasz. Én is sokat...,jonylom,jonylom,1
NA,1,esp trial,66,"[""pribagszom"",""pribagszok""]",6,68,Te bizony sokat pribagszol. Én is sokat...,pribagszok,pribagszom,0
NA,1,esp trial,67,"[""píjlok"",""píjlom""]",6,70,Te bizony sokat píjlasz. Én is sokat...,píjlom,píjlom,1
NA,0,esp trial,58,"[""bihánylom"",""bihánylok""]",6,72,Te bizony sokat bihánylasz. Én is sokat...,bihánylom,bihánylok,0
NA,1,esp trial,66,"[""brobódzom"",""brobódzok""]",6,74,Te bizony sokat brobódzol. Én is sokat...,brobódzok,brobódzom,0
NA,0,esp trial,99,"[""flűmlök"",""flűmlöm""]",6,76,Te bizony sokat flűmlesz. Én is sokat...,flűmlöm,flűmlök,0
NA,0,esp trial,96,"[""vanylom"",""vanylok""]",6,78,Te bizony sokat vanylasz. Én is sokat...,vanylom,vanylok,0
NA,1,esp trial,86,"[""spihegzem"",""spihegzek""]",6,80,Te bizony sokat spihegzel. Én is sokat...,spihegzem,spihegzem,1
NA,0,esp trial,76,"[""klaráglok"",""klaráglom""]",6,82,Te bizony sokat klaráglasz. Én is sokat...,klaráglom,klaráglok,0
NA,1,esp trial,53,"[""klétszem"",""klétszek""]",6,84,Te bizony sokat klétszel. Én is sokat...,klétszek,klétszem,0
NA,0,esp trial,60,"[""spubonylom"",""spubonylok""]",6,86,Te bizony sokat spubonylasz. Én is sokat...,spubonylom,spubonylok,0
NA,1,esp trial,72,"[""rájzom"",""rájzok""]",6,88,Te bizony sokat rájzol. Én is sokat...,rájzom,rájzom,1
NA,1,esp trial,67,"[""plugzok"",""plugzom""]",6,90,Te bizony sokat plugzol. Én is sokat...,plugzok,plugzom,0
NA,1,esp trial,57,"[""spáraklok"",""spáraklom""]",6,92,Te bizony sokat spáraklasz. Én is sokat...,spáraklom,spáraklom,1
NA,1,esp trial,81,"[""hurjorzok"",""hurjorzom""]",6,94,Te bizony sokat hurjorzol. Én is sokat...,hurjorzom,hurjorzom,1
NA,1,esp trial,89,"[""prínylok"",""prínylom""]",6,96,Te bizony sokat prínylasz. Én is sokat...,prínylom,prínylom,1
NA,1,esp trial,99,"[""sztrűkszöm"",""sztrűkszök""]",6,98,Te bizony sokat sztrűkszöl. Én is sokat...,sztrűkszök,sztrűkszöm,0
NA,0,esp trial,100,"[""spihemlem"",""spihemlek""]",6,100,Te bizony sokat spihemlesz. Én is sokat...,spihemlem,spihemlek,0
NA,1,esp trial,84,"[""trádlok"",""trádlom""]",6,102,Te bizony sokat trádlasz. Én is sokat...,trádlom,trádlom,1
NA,1,esp trial,82,"[""tragzom"",""tragzok""]",6,104,Te bizony sokat tragzol. Én is sokat...,tragzom,tragzom,1
NA,1,esp trial,77,"[""figlom"",""figlok""]",6,106,Te bizony sokat figlasz. Én is sokat...,figlom,figlom,1
NA,1,esp trial,84,"[""brubzok"",""brubzom""]",6,108,Te bizony sokat brubzol. Én is sokat...,brubzom,brubzom,1
NA,0,esp trial,69,"[""huroslok"",""huroslom""]",6,110,Te bizony sokat huroslasz. Én is sokat...,huroslom,huroslok,0
NA,1,esp trial,68,"[""spröbzöm"",""spröbzök""]",6,112,Te bizony sokat spröbzöl. Én is sokat...,spröbzöm,spröbzöm,1
NA,1,esp trial,88,"[""flehékszem"",""flehékszek""]",6,114,Te bizony sokat flehékszel. Én is sokat...,flehékszek,flehékszem,0
NA,1,posttest trial,88,"[""sprálszok"",""sprálszom""]",8,117,Te bizony sokat sprálszol. Én is sokat...,NA,sprálszom,NA
NA,1,posttest trial,88,"[""gilárzok"",""gilárzom""]",8,118,Te bizony sokat gilárzol. Én is sokat...,NA,gilárzom,NA
NA,0,posttest trial,88,"[""fivénylem"",""fivénylek""]",8,119,Te bizony sokat fivénylesz. Én is sokat...,NA,fivénylek,NA
NA,1,posttest trial,88,"[""spírzok"",""spírzom""]",8,120,Te bizony sokat spírzol. Én is sokat...,NA,spírzom,NA
NA,0,posttest trial,88,"[""floglok"",""floglom""]",8,121,Te bizony sokat floglasz. Én is sokat...,NA,floglok,NA
NA,1,posttest trial,88,"[""frágapszok"",""frágapszom""]",8,122,Te bizony sokat frágapszol. Én is sokat...,NA,frágapszom,NA
NA,1,posttest trial,88,"[""klárzok"",""klárzom""]",8,123,Te bizony sokat klárzol. Én is sokat...,NA,klárzom,NA
NA,1,posttest trial,88,"[""prihekszem"",""prihekszek""]",8,124,Te bizony sokat prihekszel. Én is sokat...,NA,prihekszem,NA
NA,1,posttest trial,88,"[""vihepszek"",""vihepszem""]",8,125,Te bizony sokat vihepszel. Én is sokat...,NA,vihepszem,NA
NA,0,posttest trial,88,"[""spülőrzök"",""spülőrzöm""]",8,126,Te bizony sokat spülőrzöl. Én is sokat...,NA,spülőrzök,NA
NA,0,posttest trial,88,"[""pugoslok"",""pugoslom""]",8,127,Te bizony sokat pugoslasz. Én is sokat...,NA,pugoslok,NA
NA,1,posttest trial,88,"[""gyivádzok"",""gyivádzom""]",8,128,Te bizony sokat gyivádzol. Én is sokat...,NA,gyivádzom,NA
NA,1,posttest trial,88,"[""spibádzok"",""spibádzom""]",8,129,Te bizony sokat spibádzol. Én is sokat...,NA,spibádzom,NA
NA,1,posttest trial,88,"[""táklom"",""táklok""]",8,130,Te bizony sokat táklasz. Én is sokat...,NA,táklom,NA
NA,0,posttest trial,88,"[""frivajlom"",""frivajlok""]",8,131,Te bizony sokat frivajlasz. Én is sokat...,NA,frivajlok,NA
NA,0,posttest trial,88,"[""kumlom"",""kumlok""]",8,132,Te bizony sokat kumlasz. Én is sokat...,NA,kumlok,NA
NA,1,posttest trial,88,"[""lihadzom"",""lihadzok""]",8,133,Te bizony sokat lihadzol. Én is sokat...,NA,lihadzom,NA
NA,1,posttest trial,88,"[""mékszek"",""mékszem""]",8,134,Te bizony sokat mékszel. Én is sokat...,NA,mékszem,NA
NA,0,posttest trial,88,"[""préleglek"",""préleglem""]",8,135,Te bizony sokat préleglesz. Én is sokat...,NA,préleglek,NA
NA,0,posttest trial,88,"[""féjzem"",""féjzek""]",8,136,Te bizony sokat féjzel. Én is sokat...,NA,féjzek,NA
NA,0,posttest trial,88,"[""szűslöm"",""szűslök""]",8,137,Te bizony sokat szűslesz. Én is sokat...,NA,szűslök,NA
NA,1,posttest trial,88,"[""sztruglok"",""sztruglom""]",8,138,Te bizony sokat sztruglasz. Én is sokat...,NA,sztruglom,NA
