trial_type,response,trial_kind,rt,choices,list_number,trial_index,stimulus,esp_response,response_string,esp_match
survey-text,"{""Q0"":""5f9eb8c1c1dc8505f5f1bcd4"",""Q1"":""férfi"",""Q2"":""1998"",""Q3"":""17""}",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,esp trial,97,"[""tiregzem"",""tiregzek""]",3,8,Te bizony sokat tiregzel. Én is sokat...,tiregzem,tiregzem,1
NA,1,esp trial,64,"[""böjzöm"",""böjzök""]",3,10,Te bizony sokat böjzöl. Én is sokat...,böjzöm,böjzöm,1
NA,1,esp trial,99,"[""málapszok"",""málapszom""]",3,12,Te bizony sokat málapszol. Én is sokat...,málapszom,málapszom,1
NA,1,esp trial,55,"[""bölszök"",""bölszöm""]",3,14,Te bizony sokat bölszöl. Én is sokat...,bölszöm,bölszöm,1
NA,0,esp trial,79,"[""feténylem"",""feténylek""]",3,16,Te bizony sokat feténylesz. Én is sokat...,feténylek,feténylek,1
NA,1,esp trial,73,"[""csíszlok"",""csíszlom""]",3,18,Te bizony sokat csíszlasz. Én is sokat...,csíszlom,csíszlom,1
NA,1,esp trial,91,"[""spatárzom"",""spatárzok""]",3,20,Te bizony sokat spatárzol. Én is sokat...,spatárzom,spatárzom,1
NA,1,esp trial,51,"[""fretszek"",""fretszem""]",3,22,Te bizony sokat fretszel. Én is sokat...,fretszem,fretszem,1
NA,1,esp trial,77,"[""hilarzom"",""hilarzok""]",3,24,Te bizony sokat hilarzol. Én is sokat...,hilarzom,hilarzom,1
NA,1,esp trial,80,"[""pebzek"",""pebzem""]",3,26,Te bizony sokat pebzel. Én is sokat...,pebzem,pebzem,1
NA,0,esp trial,65,"[""tomlom"",""tomlok""]",3,28,Te bizony sokat tomlasz. Én is sokat...,tomlok,tomlok,1
NA,1,esp trial,61,"[""szirlok"",""szirlom""]",3,30,Te bizony sokat szirlasz. Én is sokat...,szirlom,szirlom,1
NA,1,esp trial,86,"[""nyáslom"",""nyáslok""]",3,32,Te bizony sokat nyáslasz. Én is sokat...,nyáslom,nyáslom,1
NA,1,esp trial,56,"[""klibamlok"",""klibamlom""]",3,34,Te bizony sokat klibamlasz. Én is sokat...,klibamlom,klibamlom,1
NA,1,esp trial,62,"[""siladzom"",""siladzok""]",3,36,Te bizony sokat siladzol. Én is sokat...,siladzom,siladzom,1
NA,1,esp trial,71,"[""sojzom"",""sojzok""]",3,38,Te bizony sokat sojzol. Én is sokat...,sojzom,sojzom,1
NA,1,esp trial,55,"[""flűröklök"",""flűröklöm""]",3,40,Te bizony sokat flűröklesz. Én is sokat...,flűröklöm,flűröklöm,1
NA,0,esp trial,76,"[""spűmlök"",""spűmlöm""]",3,42,Te bizony sokat spűmlesz. Én is sokat...,spűmlök,spűmlök,1
NA,1,esp trial,86,"[""flüröslöm"",""flüröslök""]",3,44,Te bizony sokat flüröslesz. Én is sokat...,flüröslöm,flüröslöm,1
