trial_type,response,trial_kind,rt,choices,list_number,trial_index,stimulus,esp_response,response_string,esp_match
survey-text,"{""Q0"":""5f9eb8c1c1dc8505f5f1bcd4"",""Q1"":""férfi"",""Q2"":""1998"",""Q3"":""17""}",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,esp trial,86,"[""vanylom"",""vanylok""]",4,8,Te bizony sokat vanylasz. Én is sokat...,vanylom,vanylok,0
NA,0,esp trial,97,"[""huroslom"",""huroslok""]",4,10,Te bizony sokat huroslasz. Én is sokat...,huroslom,huroslok,0
NA,1,esp trial,63,"[""sztrijzom"",""sztrijzok""]",4,12,Te bizony sokat sztrijzol. Én is sokat...,sztrijzok,sztrijzom,0
NA,0,esp trial,59,"[""pribemlem"",""pribemlek""]",4,14,Te bizony sokat pribemlesz. Én is sokat...,pribemlem,pribemlek,0
NA,1,esp trial,90,"[""filágzom"",""filágzok""]",4,16,Te bizony sokat filágzol. Én is sokat...,filágzok,filágzom,0
NA,1,esp trial,97,"[""spihegzek"",""spihegzem""]",4,18,Te bizony sokat spihegzel. Én is sokat...,spihegzek,spihegzem,0
NA,1,esp trial,58,"[""brivegzek"",""brivegzem""]",4,20,Te bizony sokat brivegzel. Én is sokat...,brivegzek,brivegzem,0
NA,1,esp trial,67,"[""jonylom"",""jonylok""]",4,22,Te bizony sokat jonylasz. Én is sokat...,jonylom,jonylom,1
NA,0,esp trial,54,"[""flehénylek"",""flehénylem""]",4,24,Te bizony sokat flehénylesz. Én is sokat...,flehénylem,flehénylek,0
NA,1,esp trial,50,"[""szibánylok"",""szibánylom""]",4,26,Te bizony sokat szibánylasz. Én is sokat...,szibánylom,szibánylom,1
NA,1,esp trial,84,"[""pribagszok"",""pribagszom""]",4,28,Te bizony sokat pribagszol. Én is sokat...,pribagszok,pribagszom,0
NA,1,esp trial,63,"[""píjlok"",""píjlom""]",4,30,Te bizony sokat píjlasz. Én is sokat...,píjlok,píjlom,0
NA,1,esp trial,61,"[""ibékszem"",""ibékszek""]",4,32,Te bizony sokat ibékszel. Én is sokat...,ibékszek,ibékszem,0
NA,1,esp trial,87,"[""lörűdzök"",""lörűdzöm""]",4,34,Te bizony sokat lörűdzöl. Én is sokat...,lörűdzök,lörűdzöm,0
NA,1,esp trial,58,"[""spáraklom"",""spáraklok""]",4,36,Te bizony sokat spáraklasz. Én is sokat...,spáraklok,spáraklom,0
NA,1,esp trial,59,"[""tragzom"",""tragzok""]",4,38,Te bizony sokat tragzol. Én is sokat...,tragzok,tragzom,0
NA,1,esp trial,91,"[""bűtszöm"",""bűtszök""]",4,40,Te bizony sokat bűtszöl. Én is sokat...,bűtszök,bűtszöm,0
NA,1,esp trial,69,"[""bivégszek"",""bivégszem""]",4,42,Te bizony sokat bivégszel. Én is sokat...,bivégszek,bivégszem,0
NA,1,esp trial,52,"[""rájzok"",""rájzom""]",4,44,Te bizony sokat rájzol. Én is sokat...,rájzok,rájzom,0
NA,1,esp trial,91,"[""flehékszem"",""flehékszek""]",4,46,Te bizony sokat flehékszel. Én is sokat...,flehékszek,flehékszem,0
NA,1,esp trial,62,"[""prínylom"",""prínylok""]",4,48,Te bizony sokat prínylasz. Én is sokat...,prínylok,prínylom,0
NA,0,esp trial,89,"[""flűmlök"",""flűmlöm""]",4,50,Te bizony sokat flűmlesz. Én is sokat...,flűmlöm,flűmlök,0
NA,1,esp trial,60,"[""trehégszem"",""trehégszek""]",4,52,Te bizony sokat trehégszel. Én is sokat...,trehégszek,trehégszem,0
NA,1,esp trial,89,"[""salárzok"",""salárzom""]",4,54,Te bizony sokat salárzol. Én is sokat...,salárzok,salárzom,0
NA,0,esp trial,90,"[""flitlok"",""flitlom""]",4,56,Te bizony sokat flitlasz. Én is sokat...,flitlom,flitlok,0
NA,1,esp trial,50,"[""frodlom"",""frodlok""]",4,58,Te bizony sokat frodlasz. Én is sokat...,frodlok,frodlom,0
NA,1,esp trial,82,"[""hurjorzom"",""hurjorzok""]",4,60,Te bizony sokat hurjorzol. Én is sokat...,hurjorzok,hurjorzom,0
NA,1,esp trial,93,"[""düjzöm"",""düjzök""]",4,62,Te bizony sokat düjzöl. Én is sokat...,düjzök,düjzöm,0
NA,1,esp trial,88,"[""gyibeslem"",""gyibeslek""]",4,64,Te bizony sokat gyibeslesz. Én is sokat...,gyibeslek,gyibeslem,0
NA,1,esp trial,78,"[""rokszok"",""rokszom""]",4,66,Te bizony sokat rokszol. Én is sokat...,rokszok,rokszom,0
NA,1,esp trial,70,"[""treglek"",""treglem""]",4,68,Te bizony sokat treglesz. Én is sokat...,treglem,treglem,1
NA,1,esp trial,84,"[""pítszok"",""pítszom""]",4,70,Te bizony sokat pítszol. Én is sokat...,pítszok,pítszom,0
NA,1,esp trial,82,"[""sztrűkszök"",""sztrűkszöm""]",4,72,Te bizony sokat sztrűkszöl. Én is sokat...,sztrűkszök,sztrűkszöm,0
NA,1,esp trial,88,"[""figlom"",""figlok""]",4,74,Te bizony sokat figlasz. Én is sokat...,figlok,figlom,0
NA,0,esp trial,85,"[""klaráglok"",""klaráglom""]",4,76,Te bizony sokat klaráglasz. Én is sokat...,klaráglom,klaráglok,0
NA,1,esp trial,98,"[""trádlom"",""trádlok""]",4,78,Te bizony sokat trádlasz. Én is sokat...,trádlok,trádlom,0
NA,1,esp trial,66,"[""hűgzök"",""hűgzöm""]",4,80,Te bizony sokat hűgzöl. Én is sokat...,hűgzök,hűgzöm,0
NA,1,esp trial,50,"[""narádzok"",""narádzom""]",4,82,Te bizony sokat narádzol. Én is sokat...,narádzok,narádzom,0
NA,1,esp trial,85,"[""flátszom"",""flátszok""]",4,84,Te bizony sokat flátszol. Én is sokat...,flátszok,flátszom,0
NA,1,esp trial,67,"[""plűbzöm"",""plűbzök""]",4,86,Te bizony sokat plűbzöl. Én is sokat...,plűbzök,plűbzöm,0
NA,1,esp trial,65,"[""plugzom"",""plugzok""]",4,88,Te bizony sokat plugzol. Én is sokat...,plugzok,plugzom,0
NA,1,esp trial,66,"[""spülűdzök"",""spülűdzöm""]",4,90,Te bizony sokat spülűdzöl. Én is sokat...,spülűdzök,spülűdzöm,0
NA,1,esp trial,85,"[""spröbzök"",""spröbzöm""]",4,92,Te bizony sokat spröbzöl. Én is sokat...,spröbzök,spröbzöm,0
NA,0,esp trial,96,"[""klivaslok"",""klivaslom""]",4,94,Te bizony sokat klivaslasz. Én is sokat...,klivaslom,klivaslok,0
