trial_type,response,trial_kind,rt,choices,list_number,trial_index,stimulus,esp_response,response_string,esp_match
survey-text,"{""Q0"":""5f9eb8c1c1dc8505f5f1bcd4"",""Q1"":""férfi"",""Q2"":""1998"",""Q3"":""17""}",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,esp trial,70,"[""sztrijzom"",""sztrijzok""]",5,8,Te bizony sokat sztrijzol. Én is sokat...,sztrijzok,sztrijzom,0
NA,1,esp trial,69,"[""brivegzek"",""brivegzem""]",5,10,Te bizony sokat brivegzel. Én is sokat...,brivegzem,brivegzem,1
NA,1,esp trial,94,"[""rokszok"",""rokszom""]",5,12,Te bizony sokat rokszol. Én is sokat...,rokszom,rokszom,1
NA,1,esp trial,67,"[""spülűdzöm"",""spülűdzök""]",5,14,Te bizony sokat spülűdzöl. Én is sokat...,spülűdzök,spülűdzöm,0
NA,0,esp trial,85,"[""huroslok"",""huroslom""]",5,16,Te bizony sokat huroslasz. Én is sokat...,huroslok,huroslok,1
NA,1,esp trial,94,"[""gyibeslem"",""gyibeslek""]",5,18,Te bizony sokat gyibeslesz. Én is sokat...,gyibeslek,gyibeslem,0
NA,1,esp trial,51,"[""jonylom"",""jonylok""]",5,20,Te bizony sokat jonylasz. Én is sokat...,jonylok,jonylom,0
NA,1,esp trial,62,"[""salárzok"",""salárzom""]",5,22,Te bizony sokat salárzol. Én is sokat...,salárzok,salárzom,0
NA,1,esp trial,86,"[""flátszok"",""flátszom""]",5,24,Te bizony sokat flátszol. Én is sokat...,flátszom,flátszom,1
NA,1,esp trial,60,"[""trádlok"",""trádlom""]",5,26,Te bizony sokat trádlasz. Én is sokat...,trádlok,trádlom,0
NA,1,esp trial,87,"[""pítszom"",""pítszok""]",5,28,Te bizony sokat pítszol. Én is sokat...,pítszom,pítszom,1
NA,1,esp trial,61,"[""ibékszem"",""ibékszek""]",5,30,Te bizony sokat ibékszel. Én is sokat...,ibékszem,ibékszem,1
NA,1,esp trial,61,"[""klétszem"",""klétszek""]",5,32,Te bizony sokat klétszel. Én is sokat...,klétszem,klétszem,1
NA,1,esp trial,98,"[""spüjzöm"",""spüjzök""]",5,34,Te bizony sokat spüjzöl. Én is sokat...,spüjzök,spüjzöm,0
