trial_type,response,trial_kind,rt,choices,list_number,trial_index,stimulus,esp_response,response_string,esp_match
survey-text,"{""Q0"":""5f9eb8c1c1dc8505f5f1bcd4"",""Q1"":""férfi"",""Q2"":""1998"",""Q3"":""17""}",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,esp trial,53,"[""fretszem"",""fretszek""]",1,8,Te bizony sokat fretszel. Én is sokat...,fretszek,fretszem,0
NA,1,esp trial,86,"[""frilegszek"",""frilegszem""]",1,10,Te bizony sokat frilegszel. Én is sokat...,frilegszem,frilegszem,1
NA,0,esp trial,79,"[""spéslek"",""spéslem""]",1,12,Te bizony sokat spéslesz. Én is sokat...,spéslek,spéslek,1
NA,1,esp trial,76,"[""pivegszem"",""pivegszek""]",1,14,Te bizony sokat pivegszel. Én is sokat...,pivegszem,pivegszem,1
NA,1,esp trial,93,"[""narjárzom"",""narjárzok""]",1,16,Te bizony sokat narjárzol. Én is sokat...,narjárzok,narjárzom,0
NA,1,esp trial,85,"[""böjzöm"",""böjzök""]",1,18,Te bizony sokat böjzöl. Én is sokat...,böjzök,böjzöm,0
NA,0,esp trial,65,"[""fibamlom"",""fibamlok""]",1,20,Te bizony sokat fibamlasz. Én is sokat...,fibamlok,fibamlok,1
NA,1,esp trial,54,"[""ribegzem"",""ribegzek""]",1,22,Te bizony sokat ribegzel. Én is sokat...,ribegzek,ribegzem,0
NA,0,esp trial,92,"[""tomlom"",""tomlok""]",1,24,Te bizony sokat tomlasz. Én is sokat...,tomlok,tomlok,1
NA,1,esp trial,85,"[""flűröklöm"",""flűröklök""]",1,26,Te bizony sokat flűröklesz. Én is sokat...,flűröklök,flűröklöm,0
NA,1,esp trial,63,"[""klibamlok"",""klibamlom""]",1,28,Te bizony sokat klibamlasz. Én is sokat...,klibamlok,klibamlom,0
NA,0,esp trial,87,"[""feténylek"",""feténylem""]",1,30,Te bizony sokat feténylesz. Én is sokat...,feténylek,feténylek,1
NA,1,esp trial,90,"[""brágaklom"",""brágaklok""]",1,32,Te bizony sokat brágaklasz. Én is sokat...,brágaklom,brágaklom,1
NA,1,esp trial,65,"[""juszlom"",""juszlok""]",1,34,Te bizony sokat juszlasz. Én is sokat...,juszlok,juszlom,0
NA,1,esp trial,74,"[""szirlok"",""szirlom""]",1,36,Te bizony sokat szirlasz. Én is sokat...,szirlok,szirlom,0
NA,0,esp trial,81,"[""büglöm"",""büglök""]",1,38,Te bizony sokat büglesz. Én is sokat...,büglök,büglök,1
NA,1,esp trial,98,"[""vilakszom"",""vilakszok""]",1,40,Te bizony sokat vilakszol. Én is sokat...,vilakszom,vilakszom,1
NA,1,esp trial,95,"[""hilarzok"",""hilarzom""]",1,42,Te bizony sokat hilarzol. Én is sokat...,hilarzok,hilarzom,0
NA,1,esp trial,60,"[""sojzom"",""sojzok""]",1,44,Te bizony sokat sojzol. Én is sokat...,sojzom,sojzom,1
NA,1,esp trial,74,"[""spibaklok"",""spibaklom""]",1,46,Te bizony sokat spibaklasz. Én is sokat...,spibaklok,spibaklom,0
NA,0,esp trial,52,"[""spűmlöm"",""spűmlök""]",1,48,Te bizony sokat spűmlesz. Én is sokat...,spűmlök,spűmlök,1
NA,1,esp trial,93,"[""driládzom"",""driládzok""]",1,50,Te bizony sokat driládzol. Én is sokat...,driládzom,driládzom,1
NA,1,esp trial,56,"[""klörlöm"",""klörlök""]",1,52,Te bizony sokat klörlesz. Én is sokat...,klörlök,klörlöm,0
NA,1,esp trial,73,"[""drubódzom"",""drubódzok""]",1,54,Te bizony sokat drubódzol. Én is sokat...,drubódzom,drubódzom,1
NA,1,esp trial,90,"[""flüröslök"",""flüröslöm""]",1,56,Te bizony sokat flüröslesz. Én is sokat...,flüröslök,flüröslöm,0
NA,1,esp trial,69,"[""prűrlöm"",""prűrlök""]",1,58,Te bizony sokat prűrlesz. Én is sokat...,prűrlök,prűrlöm,0
NA,0,esp trial,91,"[""pratánylok"",""pratánylom""]",1,60,Te bizony sokat pratánylasz. Én is sokat...,pratánylok,pratánylok,1
NA,1,esp trial,73,"[""tiregzek"",""tiregzem""]",1,62,Te bizony sokat tiregzel. Én is sokat...,tiregzek,tiregzem,0
NA,1,esp trial,93,"[""málapszom"",""málapszok""]",1,64,Te bizony sokat málapszol. Én is sokat...,málapszok,málapszom,0
NA,1,esp trial,62,"[""pebzem"",""pebzek""]",1,66,Te bizony sokat pebzel. Én is sokat...,pebzek,pebzem,0
NA,1,esp trial,75,"[""brüjlöm"",""brüjlök""]",1,68,Te bizony sokat brüjlesz. Én is sokat...,brüjlök,brüjlöm,0
NA,1,esp trial,91,"[""ribzom"",""ribzok""]",1,70,Te bizony sokat ribzol. Én is sokat...,ribzom,ribzom,1
NA,1,esp trial,64,"[""prilegzek"",""prilegzem""]",1,72,Te bizony sokat prilegzel. Én is sokat...,prilegzem,prilegzem,1
NA,1,esp trial,64,"[""piragszom"",""piragszok""]",1,74,Te bizony sokat piragszol. Én is sokat...,piragszom,piragszom,1
NA,1,esp trial,92,"[""sűzlök"",""sűzlöm""]",1,76,Te bizony sokat sűzlesz. Én is sokat...,sűzlök,sűzlöm,0
NA,1,esp trial,99,"[""trilszok"",""trilszom""]",1,78,Te bizony sokat trilszol. Én is sokat...,trilszok,trilszom,0
NA,0,esp trial,93,"[""sztremlem"",""sztremlek""]",1,80,Te bizony sokat sztremlesz. Én is sokat...,sztremlek,sztremlek,1
NA,1,esp trial,75,"[""bölszök"",""bölszöm""]",1,82,Te bizony sokat bölszöl. Én is sokat...,bölszök,bölszöm,0
NA,0,esp trial,59,"[""flagánylok"",""flagánylom""]",1,84,Te bizony sokat flagánylasz. Én is sokat...,flagánylok,flagánylok,1
NA,1,esp trial,67,"[""herégszek"",""herégszem""]",1,86,Te bizony sokat herégszel. Én is sokat...,herégszem,herégszem,1
NA,1,esp trial,88,"[""spatárzok"",""spatárzom""]",1,88,Te bizony sokat spatárzol. Én is sokat...,spatárzok,spatárzom,0
NA,1,esp trial,83,"[""sprökszök"",""sprökszöm""]",1,90,Te bizony sokat sprökszöl. Én is sokat...,sprökszöm,sprökszöm,1
NA,1,esp trial,61,"[""siladzok"",""siladzom""]",1,92,Te bizony sokat siladzol. Én is sokat...,siladzom,siladzom,1
NA,1,esp trial,73,"[""nyáslok"",""nyáslom""]",1,94,Te bizony sokat nyáslasz. Én is sokat...,nyáslok,nyáslom,0
NA,1,esp trial,89,"[""sprogzok"",""sprogzom""]",1,96,Te bizony sokat sprogzol. Én is sokat...,sprogzom,sprogzom,1
NA,0,esp trial,50,"[""femlem"",""femlek""]",1,98,Te bizony sokat femlesz. Én is sokat...,femlek,femlek,1
NA,1,esp trial,60,"[""spilágzok"",""spilágzom""]",1,100,Te bizony sokat spilágzol. Én is sokat...,spilágzom,spilágzom,1
NA,1,esp trial,80,"[""marzom"",""marzok""]",1,102,Te bizony sokat marzol. Én is sokat...,marzok,marzom,0
NA,1,esp trial,82,"[""flagárzok"",""flagárzom""]",1,104,Te bizony sokat flagárzol. Én is sokat...,flagárzok,flagárzom,0
NA,1,esp trial,76,"[""csíszlom"",""csíszlok""]",1,106,Te bizony sokat csíszlasz. Én is sokat...,csíszlok,csíszlom,0
NA,1,esp trial,89,"[""lorjódzom"",""lorjódzok""]",1,108,Te bizony sokat lorjódzol. Én is sokat...,lorjódzok,lorjódzom,0
NA,1,esp trial,59,"[""tínylom"",""tínylok""]",1,110,Te bizony sokat tínylasz. Én is sokat...,tínylok,tínylom,0
NA,1,esp trial,95,"[""ruslom"",""ruslok""]",1,112,Te bizony sokat ruslasz. Én is sokat...,ruslok,ruslom,0
NA,0,esp trial,92,"[""jüslöm"",""jüslök""]",1,114,Te bizony sokat jüslesz. Én is sokat...,jüslök,jüslök,1
NA,1,posttest trial,83,"[""sztrűkszöm"",""sztrűkszök""]",4,117,Te bizony sokat sztrűkszöl. Én is sokat...,NA,sztrűkszöm,NA
NA,0,posttest trial,83,"[""klivaslok"",""klivaslom""]",4,118,Te bizony sokat klivaslasz. Én is sokat...,NA,klivaslok,NA
NA,0,posttest trial,83,"[""plűbzöm"",""plűbzök""]",4,119,Te bizony sokat plűbzöl. Én is sokat...,NA,plűbzök,NA
NA,1,posttest trial,83,"[""nűröklök"",""nűröklöm""]",4,120,Te bizony sokat nűröklesz. Én is sokat...,NA,nűröklöm,NA
NA,1,posttest trial,83,"[""düjzöm"",""düjzök""]",4,121,Te bizony sokat düjzöl. Én is sokat...,NA,düjzöm,NA
NA,1,posttest trial,83,"[""rokszom"",""rokszok""]",4,122,Te bizony sokat rokszol. Én is sokat...,NA,rokszom,NA
NA,0,posttest trial,83,"[""píjlom"",""píjlok""]",4,123,Te bizony sokat píjlasz. Én is sokat...,NA,píjlok,NA
NA,0,posttest trial,83,"[""figlok"",""figlom""]",4,124,Te bizony sokat figlasz. Én is sokat...,NA,figlok,NA
NA,1,posttest trial,83,"[""brubzom"",""brubzok""]",4,125,Te bizony sokat brubzol. Én is sokat...,NA,brubzom,NA
NA,0,posttest trial,83,"[""spüjzök"",""spüjzöm""]",4,126,Te bizony sokat spüjzöl. Én is sokat...,NA,spüjzök,NA
NA,1,posttest trial,83,"[""spülűdzöm"",""spülűdzök""]",4,127,Te bizony sokat spülűdzöl. Én is sokat...,NA,spülűdzöm,NA
NA,1,posttest trial,83,"[""lörűdzöm"",""lörűdzök""]",4,128,Te bizony sokat lörűdzöl. Én is sokat...,NA,lörűdzöm,NA
NA,0,posttest trial,83,"[""jonylok"",""jonylom""]",4,129,Te bizony sokat jonylasz. Én is sokat...,NA,jonylok,NA
NA,0,posttest trial,83,"[""bihánylom"",""bihánylok""]",4,130,Te bizony sokat bihánylasz. Én is sokat...,NA,bihánylok,NA
NA,1,posttest trial,83,"[""klétszem"",""klétszek""]",4,131,Te bizony sokat klétszel. Én is sokat...,NA,klétszem,NA
NA,1,posttest trial,83,"[""bűtszöm"",""bűtszök""]",4,132,Te bizony sokat bűtszöl. Én is sokat...,NA,bűtszöm,NA
NA,0,posttest trial,83,"[""huroslom"",""huroslok""]",4,133,Te bizony sokat huroslasz. Én is sokat...,NA,huroslok,NA
