trial_type,response,trial_kind,rt,choices,list_number,trial_index,stimulus,esp_response,response_string,esp_match
survey-text,"{""Q0"":""5f9eb8c1c1dc8505f5f1bcd4"",""Q1"":""férfi"",""Q2"":""1998"",""Q3"":""17""}",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,esp trial,52,"[""fivénylem"",""fivénylek""]",10,8,Te bizony sokat fivénylesz. Én is sokat...,fivénylem,fivénylem,1
NA,1,esp trial,93,"[""spüszlök"",""spüszlöm""]",10,10,Te bizony sokat spüszlesz. Én is sokat...,spüszlöm,spüszlöm,1
NA,1,esp trial,58,"[""sprálszom"",""sprálszok""]",10,12,Te bizony sokat sprálszol. Én is sokat...,sprálszok,sprálszom,0
NA,1,esp trial,68,"[""sztruglok"",""sztruglom""]",10,14,Te bizony sokat sztruglasz. Én is sokat...,sztruglom,sztruglom,1
NA,1,esp trial,83,"[""prohódzom"",""prohódzok""]",10,16,Te bizony sokat prohódzol. Én is sokat...,prohódzok,prohódzom,0
NA,1,esp trial,66,"[""zödlök"",""zödlöm""]",10,18,Te bizony sokat zödlesz. Én is sokat...,zödlöm,zödlöm,1
NA,1,esp trial,62,"[""plövőrzök"",""plövőrzöm""]",10,20,Te bizony sokat plövőrzöl. Én is sokat...,plövőrzöm,plövőrzöm,1
NA,1,esp trial,64,"[""vihepszem"",""vihepszek""]",10,22,Te bizony sokat vihepszel. Én is sokat...,vihepszek,vihepszem,0
NA,0,esp trial,58,"[""brarlok"",""brarlom""]",10,24,Te bizony sokat brarlasz. Én is sokat...,brarlom,brarlok,0
NA,1,esp trial,92,"[""tuboklok"",""tuboklom""]",10,26,Te bizony sokat tuboklasz. Én is sokat...,tuboklom,tuboklom,1
NA,1,esp trial,50,"[""friszlom"",""friszlok""]",10,28,Te bizony sokat friszlasz. Én is sokat...,friszlom,friszlom,1
NA,1,esp trial,95,"[""préleglek"",""préleglem""]",10,30,Te bizony sokat préleglesz. Én is sokat...,préleglem,préleglem,1
NA,0,esp trial,89,"[""frivajlom"",""frivajlok""]",10,32,Te bizony sokat frivajlasz. Én is sokat...,frivajlom,frivajlok,0
NA,1,esp trial,58,"[""spírzok"",""spírzom""]",10,34,Te bizony sokat spírzol. Én is sokat...,spírzom,spírzom,1
NA,0,esp trial,92,"[""kumlok"",""kumlom""]",10,36,Te bizony sokat kumlasz. Én is sokat...,kumlom,kumlok,0
NA,1,esp trial,51,"[""aglom"",""aglok""]",10,38,Te bizony sokat aglasz. Én is sokat...,aglom,aglom,1
NA,1,esp trial,82,"[""spibádzom"",""spibádzok""]",10,40,Te bizony sokat spibádzol. Én is sokat...,spibádzom,spibádzom,1
NA,1,esp trial,51,"[""drügzök"",""drügzöm""]",10,42,Te bizony sokat drügzöl. Én is sokat...,drügzöm,drügzöm,1
NA,1,esp trial,58,"[""szűslök"",""szűslöm""]",10,44,Te bizony sokat szűslesz. Én is sokat...,szűslöm,szűslöm,1
NA,0,esp trial,73,"[""sprédlem"",""sprédlek""]",10,46,Te bizony sokat sprédlesz. Én is sokat...,sprédlem,sprédlek,0
NA,1,esp trial,87,"[""mékszek"",""mékszem""]",10,48,Te bizony sokat mékszel. Én is sokat...,mékszem,mékszem,1
