cc	gcm_weight	word	cvc	nsyl	ending1	suffix2	linking_vowel	suffix1	gcm_decile
vüklörekszik	4.4306859221118056e-4		vüklörekedik	3	edik	szik	e	dik	1
rérülekszik	3.095912382910353e-4		rérülekedik	3	edik	szik	e	dik	1
sűköpekszik	0.0022286242716085245		sűköpekedik	3	edik	szik	e	dik	1
zészídekszik	2.992592005436777e-4		zészídekedik	3	edik	szik	e	dik	1
gisilekszik	0.0025142426128133624		gisilekedik	3	edik	szik	e	dik	1
tőnkízekszik	6.619059547550819e-4		tőnkízekedik	3	edik	szik	e	dik	1
vűküzekszik	1.571015883497563e-4		vűküzekezik	3	ezik	szik	e	zik	1
zegyelekszik	2.246631426149559e-4		zegyelekedik	3	edik	szik	e	dik	1
dőntütekszik	5.384686640258189e-4		dőntütekedik	3	edik	szik	e	dik	1
bőförbekszik	0.003147412007299		bőförbekedik	3	edik	szik	e	dik	1
jüpepszik	0.0012073103011663335		jüpepedik	2	edik	szik	e	dik	1
mörözekszik	0.0011157678872552403		mörözekedik	3	edik	szik	e	dik	1
rentrötekszik	6.071457920075392e-4		rentrötekezik	3	ezik	szik	e	zik	1
kőzekszik	0.003630692217529322		kőzekedik	2	edik	szik	e	dik	1
jélíszekszik	2.5923608965534075e-4		jélíszekedik	3	edik	szik	e	dik	1
könspebekszik	0.003652778415173188		könspebekedik	3	edik	szik	e	dik	1
túbosokszik	0.0016974536897532877		túbosokodik	3	odik	szik	o	dik	1
támplosokszik	7.949873117273011e-4		támplosokodik	3	odik	szik	o	dik	1
rüszemekszik	7.858443603439527e-4		rüszemekedik	3	edik	szik	e	dik	1
sűmejekszik	0.0037147426041282973		sűmejekedik	3	edik	szik	e	dik	1
büzölekszik	3.1005593366105136e-4		büzölekedik	3	edik	szik	e	dik	1
kenyürvekszik	3.9506392587054193e-4		kenyürvekedik	3	edik	szik	e	dik	1
nerírekszik	6.698614366505621e-4		nerírekedik	3	edik	szik	e	dik	1
kedikekszik	0.0010447891471939642		kedikekedik	3	edik	szik	e	dik	1
kőlkekszik	0.0012169357533948152		kőlkekedik	2	edik	szik	e	dik	1
nőlerekszik	6.711451511598287e-4		nőlereküszik	3	üszik	szik	ü	zik	1
téjrüszekszik	1.8188380028304448e-4		téjrüszekedik	3	edik	szik	e	dik	1
pőgzöbekszik	0.0027481293387728763		pőgzöbekedik	3	edik	szik	e	dik	1
lüpüsekszik	0.003431534890927438		lüpüsekedik	3	edik	szik	e	dik	1
szöpekszik	0.002602252149029333		szöpeküszik	2	üszik	szik	ü	zik	1
jüjekszik	0.0014702094986981818		jüjekedik	2	edik	szik	e	dik	1
régepvekszik	7.102321857071315e-4		régepvekedik	3	edik	szik	e	dik	1
smezekszik	0.002477578545321057		smezekedik	2	edik	szik	e	dik	1
müsönepszik	0.001827507959704248		müsönepedik	3	edik	szik	e	dik	1
vűnövékszik	1.8321092476968615e-4		vűnövéküszik	3	üszik	szik	ü	zik	1
vükíszekszik	3.206412516118408e-5		vükíszekedik	3	edik	szik	e	dik	1
viprelekszik	0.0013284291582417182		viprelekedik	3	edik	szik	e	dik	1
kíföszekszik	0.0011795923031304805		kíföszekezik	3	ezik	szik	e	zik	1
logyurtopszik	4.8101257801767236e-4		logyurtopodik	3	odik	szik	o	dik	1
sildekszik	0.002828970025470217		sildekedik	2	edik	szik	e	dik	1
bőpömekszik	0.006885105536258445		bőpömekedik	3	edik	szik	e	dik	2
túlofopszik	0.006643547006840664		túlofopodik	3	odik	szik	o	dik	2
fúlboklik	0.01803753614616672		fúlbokolik	2	olik	lik	o	lik	2
sővötepszik	0.007655800988594218		sővötepedik	3	edik	szik	e	dik	2
súvasokszik	0.017013761082047312		súvasokodik	3	odik	szik	o	dik	2
röbibegszik	0.017352076365436297		röbibegedik	3	edik	szik	e	dik	2
tépífepszik	0.007092052901775142		tépífepedik	3	edik	szik	e	dik	2
réndekszik	0.0048554347824594606		réndekedik	2	edik	szik	e	dik	2
főtöktekszik	0.005611294206773802		főtöktekedik	3	edik	szik	e	dik	2
tardopokszik	0.006485317509315364		tardopokodik	3	odik	szik	o	dik	2
lolzogzik	0.025055029243143026		lolzogozik	2	ozik	zik	o	zik	2
flúmaropszik	0.01959367118101128		flúmaropodik	3	odik	szik	o	dik	2
borugyokszik	0.0050137609078360675		borugyokodik	3	odik	szik	o	dik	2
zikinlekszik	0.004860153118785858		zikinlekedik	3	edik	szik	e	dik	2
fólisoklik	0.02436195484412248		fólisokolik	3	olik	lik	o	lik	2
sprügükekszik	0.004805945664905145		sprügükekezik	3	ezik	szik	e	zik	2
szagzik	0.018131941083931836		szagazik	1	azik	zik	a	zik	2
bókíblokszik	0.017568553429058456		bókíblokodik	3	odik	szik	o	dik	2
lészípegzik	0.008774584102241743		lészípegezik	3	ezik	zik	e	zik	2
pőküpekszik	0.005356082238478402		pőküpekedik	3	edik	szik	e	dik	2
dóralokszik	0.01189496683176785		dóralokodik	3	odik	szik	o	dik	2
pábumlokszik	0.023356982184085277		pábumlokodik	3	odik	szik	o	dik	2
pűsevekszik	0.004371123053834297		pűsevekedik	3	edik	szik	e	dik	2
miltükszik	0.015038572825635055		miltüküszik	2	üszik	szik	ü	zik	2
prepszik	0.024451829023160513		prepedik	1	edik	szik	e	dik	2
kígekszik	0.004312786045219102		kígekedik	2	edik	szik	e	dik	2
tóstopszik	0.017552300693927082		tóstopodik	2	odik	szik	o	dik	2
gűpivekszik	0.006287656128728216		gűpivekedik	3	edik	szik	e	dik	2
tikülvöklik	0.016924673676976844		tikülvökölik	3	ölik	lik	ö	lik	2
matamoslik	0.026089333396492942		matamosodik	3	odik	lik	o	dik	2
strakalopszik	0.01267199567493529		strakalopodik	3	odik	szik	o	dik	2
főktikepszik	0.012020968468220277		főktikepedik	3	edik	szik	e	dik	2
vaszobopszik	0.004718217534298418		vaszobopodik	3	odik	szik	o	dik	2
lolagyogszik	0.012023885298423617		lolagyogodik	3	odik	szik	o	dik	2
sztogipropszik	0.0047680146872922215		sztogipropodik	3	odik	szik	o	dik	2
mobologszik	0.004245190211909989		mobologodik	3	odik	szik	o	dik	2
tídíbopszik	0.022106771623257332		tídíbopodik	3	odik	szik	o	dik	2
szúguldopszik	0.009421856730066845		szúguldopodik	3	odik	szik	o	dik	2
pűvöbekszik	0.0037964072425453674		pűvöbekedik	3	edik	szik	e	dik	2
rökíjekszik	0.005800503061624538		rökíjekedik	3	edik	szik	e	dik	2
batobokszik	0.06521446714921716		batobokodik	3	odik	szik	o	dik	3
legszik	0.05169092485199154		legedik	1	edik	szik	e	dik	3
bármokszik	0.0497639170735784		bármokodik	2	odik	szik	o	dik	3
szivuvorzik	0.09001270814276102		szivuvorozik	3	ozik	zik	o	zik	3
türöglöklik	0.030221362394407047		türöglökölik	3	ölik	lik	ö	lik	3
pűtirekszik	0.03405015613262724		pűtirekedik	3	edik	szik	e	dik	3
pimpronyúgszik	0.07373773930458878		pimpronyúguszik	3	uszik	szik	u	zik	3
folufojzik	0.08664731754849338		folufojozik	3	ozik	zik	o	zik	3
kóroropszik	0.03651442028281651		kóroropodik	3	odik	szik	o	dik	3
szuktígszik	0.06533674783904624		szuktíguszik	2	uszik	szik	u	zik	3
lasztomogszik	0.052784869951390895		lasztomogodik	3	odik	szik	o	dik	3
frúkuronyzik	0.09633245560348438		frúkuronyozik	3	ozik	zik	o	zik	3
salorgálszik	0.06097385828597587		salorgáluszik	3	uszik	szik	u	zik	3
túvogszik	0.043869549660066724		túvogodik	2	odik	szik	o	dik	3
