my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list3.csv,space,32.0216,space,11.8298,right,7.2244,space,13.8119,left,5.0831,space,12.1542,left,9.1434,space,15.4747,kláragszotok,kláragodtok,left,13.5863,0,0,0,123,1,124,kláragszik / kláragodik,"kláragszik, kláragodni",tek,NA,"János imád kláragodni, ezért sokat kláragszik.",Ti ritkán...,kláragszotok,kláragodtok,cselekszik,-szik,2,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,narjárzom,narjárzok,left,11.5024,0,1,1,61,1,116,narjárzik,narjárzol,NA,NA,Te bizony sokat narjárzol.,Én is sokat...,narjárzok,narjárzom,lakik,-zik,2,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,dorzéjnek,dorzéjnak,right,9.0382,0,2,2,29,1,138,dorzéj,dorzéj,nak,é,Ez itt egy dorzéj.,Elneveztem a kutyámat...,dorzéjnek,dorzéjnak,dzsungel,NA,NA,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,trilekedtek,trilekszetek,right,16.9072,0,3,3,157,1,158,trilekszik / trilekedik,"trilekszik, trilekedni",tek,NA,"János imád trilekedni, ezért sokat trilekszik.",Ti ritkán...,trilekszetek,trilekedtek,cselekszik,-szik,2,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,klosétnek,klosétnak,right,8.8413,0,4,4,45,1,154,klosét,klosét,nak,é,Ez itt egy klosét.,Elneveztem a kutyámat...,klosétnek,klosétnak,dzsungel,NA,NA,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,diroztok,dirlotok,right,6.8063,0,5,5,148,1,149,dirlik / dirozik,"dirlik, dirozni",tek,NA,"János imád dirozni, ezért sokat dirlik.",Ti ritkán...,dirlotok,diroztok,cselekszik,-lik,1,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,hágyétnak,hágyétnek,right,7.3493,0,6,6,42,1,151,hágyét,hágyét,nak,é,Ez itt egy hágyét.,Elneveztem a kutyámat...,hágyétnek,hágyétnak,dzsungel,NA,NA,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,piragszok,piragszom,right,4.1779,0,7,7,83,1,138,piragszik,piragszol,NA,NA,Te bizony sokat piragszol.,Én is sokat...,piragszok,piragszom,lakik,-szik,2,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,brűklötök,brűköztök,left,7.551,0,8,8,153,1,154,brűklik / brűközik,"brűklik, brűközni",tek,NA,"János imád brűközni, ezért sokat brűklik.",Ti ritkán...,brűklötök,brűköztök,cselekszik,-lik,1,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,trálodunk,trálszunk,right,5.3625,0,9,9,130,1,131,trálszik / trálodik,"trálszik, trálodni",ünk,NA,"János imád trálodni, ezért sokat trálszik.",Mi ritkán...,trálszunk,trálodunk,cselekszik,-szik,1,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,kléglünk,klégezünk,right,8.8296,0,10,10,122,1,123,kléglik / klégezik,"kléglik, klégezni",ünk,NA,"János imád klégezni, ezért sokat kléglik.",Mi ritkán...,kléglünk,klégezünk,cselekszik,-lik,1,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,gicéjnél,gicéjnál,left,5.3745,0,11,11,17,1,126,gicéj,gicéj,nál,é,Ez itt egy gicéj.,Nincs is jobb egy jó...,gicéjnél,gicéjnál,dzsungel,NA,NA,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,fliraklom,fliraklok,right,11.9635,0,12,12,98,1,153,fliraklik,fliraklasz,NA,NA,Te bizony sokat fliraklasz.,Én is sokat...,fliraklok,fliraklom,lakik,-lik,2,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,vehékedünk,vehékszünk,right,6.5404,0,13,13,117,1,118,vehékszik / vehékedik,"vehékszik, vehékedni",ünk,NA,"János imád vehékedni, ezért sokat vehékszik.",Mi ritkán...,vehékszünk,vehékedünk,cselekszik,-szik,2,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
,,,,,,,,,,,,,,,,,mülőrözünk,mülőrzünk,right,8.6564,0,14,14,120,1,121,mülőrzik / mülőrözik,"mülőrzik, mülőrözni",ünk,NA,"János imád mülőrözni, ezért sokat mülőrzik.",Mi ritkán...,mülőrzünk,mülőrözünk,cselekszik,-zik,2,PR2058,2000,nő,nem,2022-04-14_18h12.19.048,hesp_baseline,2021.2.3,Win32,59.89458553
