my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list2.csv,space,15.8368,space,7.1093,right,19.8607,space,13.5287,left,8.4027,space,4.1998,left,24.8732,space,62.7377,dineltben,dineltban,left,8.8564,0,0,0,0,1,55,dinelt,dinelt,ban,e,Ez itt egy dinelt.,Ott vagyunk a...,dineltben,dineltban,dzsungel,NA,NA,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
,,,,,,,,,,,,,,,,,spibeglünk,spibegezünk,left,62.8238,0,1,1,147,1,94,spibeglik / spibegezik,"spibeglik, spibegezni",ünk,NA,"János imád spibegezni, ezért sokat spibeglik.",Mi ritkán...,spibeglünk,spibegezünk,cselekszik,-lik,2,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
,,,,,,,,,,,,,,,,,kluhéjnél,kluhéjnál,right,9.1451,0,2,2,24,1,79,kluhéj,kluhéj,nál,é,Ez itt egy kluhéj.,Nincs is jobb egy jó...,kluhéjnél,kluhéjnál,dzsungel,NA,NA,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
,,,,,,,,,,,,,,,,,mihágzotok,mihágoztok,right,24.8859,0,3,3,118,1,65,mihágzik / mihágozik,"mihágzik, mihágozni",tek,NA,"János imád mihágozni, ezért sokat mihágzik.",Ti ritkán...,mihágzotok,mihágoztok,cselekszik,-zik,2,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
,,,,,,,,,,,,,,,,,branyoznak,branylanak,right,23.6996,0,4,4,136,1,83,branylik / branyozik,"branylik, branyozni",nek,NA,"János imád branyozni, ezért sokat branylik.",Ők ritkán...,branylanak,branyoznak,cselekszik,-lik,1,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
,,,,,,,,,,,,,,,,,dárakodunk,dárakszunk,left,23.4054,0,5,5,126,1,73,dárakszik / dárakodik,"dárakszik, dárakodni",ünk,NA,"János imád dárakodni, ezért sokat dárakszik.",Mi ritkán...,dárakszunk,dárakodunk,cselekszik,-szik,2,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
,,,,,,,,,,,,,,,,,pítendben,pítendban,left,11.0099,0,6,6,18,1,73,pítend,pítend,ban,e,Ez itt egy pítend.,Ott vagyunk a...,pítendben,pítendban,dzsungel,NA,NA,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
,,,,,,,,,,,,,,,,,spatárzok,spatárzom,left,17.5712,0,7,7,69,1,70,spatárzik,spatárzol,NA,NA,Te bizony sokat spatárzol.,Én is sokat...,spatárzok,spatárzom,lakik,-zik,2,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
,,,,,,,,,,,,,,,,,brágédnak,brágédnek,left,5.3208,0,8,8,45,1,100,brágéd,brágéd,nak,é,Ez itt egy brágéd.,Elneveztem a kutyámat...,brágédnek,brágédnak,dzsungel,NA,NA,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
,,,,,,,,,,,,,,,,,prihegszenek,prihegednek,left,9.4009,0,9,9,155,1,102,prihegszik / prihegedik,"prihegszik, prihegedni",nek,NA,"János imád prihegedni, ezért sokat prihegszik.",Ők ritkán...,prihegszenek,prihegednek,cselekszik,-szik,2,PR2030,2000,férfi,nem,2022-04-08_21h02.50.816,hesp_baseline,2021.2.3,Win32,144.1545337
