my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list2.csv,space,18.6382,space,13.912,right,28.7334,space,17.598,left,4.3354,space,8.7169,left,6.5738,space,22.836,fojlegynek,fojlegynak,left,7.0801,0,0,0,3,1,58,fojlegy,fojlegy,nak,e,Ez itt egy fojlegy.,Elneveztem a kutyámat...,fojlegynek,fojlegynak,dzsungel,NA,NA,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
,,,,,,,,,,,,,,,,,flűgözünk,flűgzünk,left,8.1691,0,1,1,160,1,107,flűgzik / flűgözik,"flűgzik, flűgözni",ünk,NA,"János imád flűgözni, ezért sokat flűgzik.",Mi ritkán...,flűgzünk,flűgözünk,cselekszik,-zik,1,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
,,,,,,,,,,,,,,,,,bivégszem,bivégszek,left,7.3485,0,2,2,68,1,69,bivégszik,bivégszel,NA,NA,Te bizony sokat bivégszel.,Én is sokat...,bivégszek,bivégszem,lakik,-szik,2,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
,,,,,,,,,,,,,,,,,figlom,figlok,right,6.9172,0,3,3,75,1,76,figlik,figlasz,NA,NA,Te bizony sokat figlasz.,Én is sokat...,figlok,figlom,lakik,-lik,1,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
,,,,,,,,,,,,,,,,,spáraklom,spáraklok,left,6.4724,0,4,4,96,1,97,spáraklik,spáraklasz,NA,NA,Te bizony sokat spáraklasz.,Én is sokat...,spáraklok,spáraklom,lakik,-lik,2,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
,,,,,,,,,,,,,,,,,spügözünk,spügzünk,right,9.5665,0,5,5,143,1,90,spügzik / spügözik,"spügzik, spügözni",ünk,NA,"János imád spügözni, ezért sokat spügzik.",Mi ritkán...,spügzünk,spügözünk,cselekszik,-zik,1,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
,,,,,,,,,,,,,,,,,dihelynak,dihelynek,right,4.8681,0,6,6,20,1,75,dihely,dihely,nak,e,Ez itt egy dihely.,Elneveztem a kutyámat...,dihelynek,dihelynak,dzsungel,NA,NA,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
,,,,,,,,,,,,,,,,,fibamlom,fibamlok,right,7.6961,0,7,7,65,1,66,fibamlik,fibamlasz,NA,NA,Te bizony sokat fibamlasz.,Én is sokat...,fibamlok,fibamlom,lakik,-lik,2,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
,,,,,,,,,,,,,,,,,ikszertban,ikszertben,right,8.845,0,8,8,19,1,74,ikszert,ikszert,ban,e,Ez itt egy ikszert.,Ott vagyunk a...,ikszertben,ikszertban,dzsungel,NA,NA,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
,,,,,,,,,,,,,,,,,praslom,praslok,right,4.6829,0,9,9,80,1,81,praslik,praslasz,NA,NA,Te bizony sokat praslasz.,Én is sokat...,praslok,praslom,lakik,-lik,1,PR2050,1991,nő,nem,2022-04-13_19h24.11.691,hesp_baseline,2021.2.3,Win32,59.55926147
