my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list2.csv,space,38.7187,space,9.2155,right,6.1668,space,13.7039,left,4.3959,space,1.9737,left,8.0414,space,1.8391,gyihegeztek,gyihegzetek,left,4.5478,0,0,0,124,1,71,gyihegzik / gyihegezik,"gyihegzik, gyihegezni",tek,NA,"János imád gyihegezni, ezért sokat gyihegzik.",Ti ritkán...,gyihegzetek,gyihegeztek,cselekszik,-zik,2,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,frálaslanak,frálasoznak,left,9.5341,0,1,1,110,1,57,frálaslik / frálasozik,"frálaslik, frálasozni",nek,NA,"János imád frálasozni, ezért sokat frálaslik.",Ők ritkán...,frálaslanak,frálasoznak,cselekszik,-lik,2,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,klingeszban,klingeszben,right,3.4995,0,2,2,1,1,56,klingesz,klingesz,ban,e,Ez itt egy klingesz.,Ott vagyunk a...,klingeszben,klingeszban,dzsungel,NA,NA,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,driládzok,driládzom,left,5.0301,0,3,3,67,1,68,driládzik,driládzol,NA,NA,Te bizony sokat driládzol.,Én is sokat...,driládzok,driládzom,lakik,-zik,2,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,fligzok,fligzom,left,4.8405,0,4,4,103,1,104,fligzik,fligzol,NA,NA,Te bizony sokat fligzol.,Én is sokat...,fligzok,fligzom,lakik,-zik,1,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,spüjzöm,spüjzök,left,6.2072,0,5,5,59,1,60,spüjzik,spüjzöl,NA,NA,Te bizony sokat spüjzöl.,Én is sokat...,spüjzök,spüjzöm,lakik,-zik,1,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,gúdenban,gúdenben,right,7.7222,0,6,6,4,1,59,gúden,gúden,ban,e,Ez itt egy gúden.,Ott vagyunk a...,gúdenben,gúdenban,dzsungel,NA,NA,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,dóbemnek,dóbemnak,right,6.6815,0,7,7,48,1,103,dóbem,dóbem,nak,e,Ez itt egy dóbem.,Elneveztem a kutyámat...,dóbemnek,dóbemnak,dzsungel,NA,NA,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,klűmöztök,klűmlötök,right,7.9981,0,8,8,108,1,55,klűmlik / klűmözik,"klűmlik, klűmözni",tek,NA,"János imád klűmözni, ezért sokat klűmlik.",Ti ritkán...,klűmlötök,klűmöztök,cselekszik,-lik,1,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,prihegednek,prihegszenek,left,9.4494,0,9,9,155,1,102,prihegszik / prihegedik,"prihegszik, prihegedni",nek,NA,"János imád prihegedni, ezért sokat prihegszik.",Ők ritkán...,prihegszenek,prihegednek,cselekszik,-szik,2,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,tomlok,tomlom,left,3.1871,0,10,10,86,1,87,tomlik,tomlasz,NA,NA,Te bizony sokat tomlasz.,Én is sokat...,tomlok,tomlom,lakik,-lik,1,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,dihelynak,dihelynek,right,3.6627,0,11,11,20,1,75,dihely,dihely,nak,e,Ez itt egy dihely.,Elneveztem a kutyámat...,dihelynek,dihelynak,dzsungel,NA,NA,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,nidétben,nidétban,left,6.4741,0,12,12,39,1,94,nidét,nidét,ban,é,Ez itt egy nidét.,Ott vagyunk a...,nidétben,nidétban,dzsungel,NA,NA,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
,,,,,,,,,,,,,,,,,gilárzom,gilárzok,left,5.3472,0,13,13,94,1,95,gilárzik,gilárzol,NA,NA,Te bizony sokat gilárzol.,Én is sokat...,gilárzok,gilárzom,lakik,-zik,2,PR2075,2002,nő,nem,2022-04-18_20h54.10.026,hesp_baseline,2021.2.3,Win32,61.35722174
