my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list2.csv,space,12.3026,space,8.1536,right,6.6494,space,12.2333,left,4.2422,space,8.4868,left,13.3256,space,13.4452,jóbecnek,jóbecnak,left,5.5042,0,0,0,11,1,66,jóbec,jóbec,nak,e,Ez itt egy jóbec.,Elneveztem a kutyámat...,jóbecnek,jóbecnak,dzsungel,NA,NA,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,játlunk,játozunk,right,15.2521,0,1,1,145,1,92,játlik / játozik,"játlik, játozni",ünk,NA,"János imád játozni, ezért sokat játlik.",Mi ritkán...,játlunk,játozunk,cselekszik,-lik,1,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,tosélyben,tosélyban,right,3.808,0,2,2,25,1,80,tosély,tosély,ban,é,Ez itt egy tosély.,Ott vagyunk a...,tosélyben,tosélyban,dzsungel,NA,NA,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,csimennál,csimennél,right,6.5359,0,3,3,44,1,99,csimen,csimen,nál,e,Ez itt egy csimen.,Nincs is jobb egy jó...,csimennél,csimennál,dzsungel,NA,NA,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,spubonylok,spubonylom,left,67.7018,0,4,4,104,1,105,spubonylik,spubonylasz,NA,NA,Te bizony sokat spubonylasz.,Én is sokat...,spubonylok,spubonylom,lakik,-lik,2,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,csólorzom,csólorzok,left,7.3574,0,5,5,102,1,103,csólorzik,csólorzol,NA,NA,Te bizony sokat csólorzol.,Én is sokat...,csólorzok,csólorzom,lakik,-zik,2,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,spüjzök,spüjzöm,left,89.8527,0,6,6,59,1,60,spüjzik,spüjzöl,NA,NA,Te bizony sokat spüjzöl.,Én is sokat...,spüjzök,spüjzöm,lakik,-zik,1,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,sporzemnak,sporzemnek,right,26.8675,0,7,7,26,1,81,sporzem,sporzem,nak,e,Ez itt egy sporzem.,Elneveztem a kutyámat...,sporzemnek,sporzemnak,dzsungel,NA,NA,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,kluhéjnél,kluhéjnál,right,4.4787,0,8,8,24,1,79,kluhéj,kluhéj,nál,é,Ez itt egy kluhéj.,Nincs is jobb egy jó...,kluhéjnél,kluhéjnál,dzsungel,NA,NA,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,zihencnek,zihencnak,left,3.2189,0,9,9,52,1,107,zihenc,zihenc,nak,e,Ez itt egy zihenc.,Elneveztem a kutyámat...,zihencnek,zihencnak,dzsungel,NA,NA,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,sprigoztok,sprigzotok,left,12.8237,0,10,10,129,1,76,sprigzik / sprigozik,"sprigzik, sprigozni",tek,NA,"János imád sprigozni, ezért sokat sprigzik.",Ti ritkán...,sprigzotok,sprigoztok,cselekszik,-zik,1,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
,,,,,,,,,,,,,,,,,csíszlom,csíszlok,right,3.5029,0,11,11,84,1,85,csíszlik,csíszlasz,NA,NA,Te bizony sokat csíszlasz.,Én is sokat...,csíszlok,csíszlom,lakik,-lik,1,PR2047,1998,nő,nem,2022-04-14_10h14.37.263,hesp_baseline,2021.2.3,Win32,59.74429442
