c("Model 1", "Model 2", "Model 3", "Model 4", "Model 5", "Model 6", "Model 7", "Model 8", "Model 9")
c("glmerMod", "glmerMod", "glmerMod", "glmerMod", "glmerMod", "glmerMod", "glmerMod", "glmerMod", "glmerMod")
c(9871.25738892593, 9867.38769919158, 9861.30116174468, 9863.14413763032, 9869.28209849671, 9871.11614727382, 9871.35411741673, 9873.46871901318, 9871.76054385486)
c(0.00461421408375459, 0.0319440656392661, 0.669984882056176, 0.266604744847871, 0.0123887248419481, 0.00495185564179396, 0.00439636169784342, 0.00152726188393982, 0.00358788930740648)
c(9871.26960000312, 9867.40340085989, 9861.3299575562, 9863.17817275631, 9869.30172772245, 9871.14494308534, 9871.42878175468, 9873.4975148247, 9871.77624552317)
c(0.00465481648393524, 0.0321689614691009, 0.670298885038548, 0.266031869013771, 0.0124514692358623, 0.00495417643660806, 0.00429869552649431, 0.00152797766842879, 0.00361314912725085)
c(9921.13086631123, 9924.3859590605, 9939.67376906444, 9948.64152743369, 9933.40514084924, 9949.48875459358, 9999.60020212179, 9951.84132633294, 9928.75880372378)
c(0.8191829709767, 0.160896466361799, 7.7062082949862e-05, 8.69994999056736e-07, 0.00177033748461299, 5.69565553557778e-07, 7.48137019469632e-18, 1.75666623439519e-07, 0.018071547866762)
c(0.507987009695268, 0.508332218397066, 0.508953365252369, 0.508926354953331, 0.508305591150706, 0.507579899225267, 0.505362412461433, 0.504512413549058, 0.507518435828577)
c(0.139453102140109, 0.14115072327633, 0.150399490927588, 0.150799702771217, 0.14140712463331, 0.144200226526325, 0.150321234218442, 0.145561353212067, 0.142575421635988)
c(0.428255459954214, 0.427527279898816, 0.422026435361071, 0.421722240737312, 0.427325309869011, 0.424608283341781, 0.417853420070366, 0.420101620738231, 0.42562695705424)
c(0.402457314485054, 0.402288485146084, 0.402383918337116, 0.40238350459901, 0.402287502915844, 0.402280934965635, 0.402343097893475, 0.40243462086982, 0.402457481745674)
c(1, 1, 1, 1, 1, 1, 1, 1, 1)
c(0.4866161402645, 0.486291004559272, 0.486506154592384, 0.486507231063635, 0.486289540555087, 0.486305077778704, 0.486463757056806, 0.48660276459523, 0.486632176203833)
c(-Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf)
c(0.000109384335834189, 0.000116053843877128, 0.000109388180538789, 0.000109416305114607, 0.000116061006427134, 0.000135459761217815, 0.000109204384804163, 0.000109281708780691, 0.000109282151700648)
