grammar_type	nsyl	front	word
noun	2	FALSE	vízíny
noun	2	FALSE	lílan
noun	2	FALSE	komíng
noun	2	FALSE	nóndoy
noun	2	FALSE	kozum
noun	2	FALSE	szogín
noun	2	FALSE	bígyud
noun	2	FALSE	búmínt
noun	2	FALSE	nogyur
noun	2	FALSE	nogyluz
noun	2	FALSE	mugíz
noun	2	FALSE	lírug
noun	2	FALSE	kardur
noun	2	FALSE	zúmol
noun	2	FALSE	furgyant
noun	2	FALSE	mipir
noun	2	FALSE	rupiv
noun	2	FALSE	mátart
noun	2	FALSE	pómon
noun	2	FALSE	lúrzaj
noun	2	FALSE	dátíb
noun	2	FALSE	mitav
noun	2	FALSE	toltiny
noun	2	FALSE	moszil
noun	2	FALSE	kógylat
noun	2	FALSE	bászar
noun	2	FALSE	vulszun
noun	2	FALSE	rulang
noun	2	FALSE	rajígy
noun	2	FALSE	vazron
noun	2	FALSE	nózap
noun	2	FALSE	puntiny
noun	2	FALSE	kárfurd
noun	2	FALSE	vodzsot
noun	2	FALSE	pulmík
noun	2	FALSE	tugnud
noun	2	FALSE	nútugy
noun	2	FALSE	kórdit
noun	2	FALSE	likuny
noun	2	FALSE	luntan
noun	2	FALSE	gózgult
noun	2	FALSE	szálmíg
noun	2	FALSE	bunib
noun	2	FALSE	mátyan
noun	2	FALSE	pogyugy
noun	2	FALSE	dúzpul
noun	2	FALSE	zinytav
noun	2	FALSE	prokug
noun	2	FALSE	dadín
noun	2	FALSE	rovín
noun	2	FALSE	bórkít
noun	2	FALSE	szángíng
noun	2	FALSE	szíbum
noun	2	FALSE	daspírt
noun	2	FALSE	zártot
noun	2	FALSE	flódír
noun	2	FALSE	lóngor
noun	2	FALSE	kupugy
noun	2	FALSE	szutant
noun	2	FALSE	rapiny
noun	2	FALSE	dászony
noun	2	FALSE	fanzut
noun	2	FALSE	gandaz
noun	2	FALSE	fodajt
noun	2	FALSE	kírsun
noun	2	FALSE	zúpok
noun	2	FALSE	vúran
noun	2	FALSE	kálklur
noun	2	FALSE	kúkíd
noun	2	FALSE	jugony
noun	2	FALSE	flóvij
noun	2	FALSE	nadany
noun	2	FALSE	bibrot
noun	2	FALSE	zólig
noun	2	FALSE	sódrul
