rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl
55,dinelt,dinelt,ban,e,Ez itt egy dinelt.,Ott vagyunk a...,dineltben,dineltban,dzsungel,NA,NA
56,klingesz,klingesz,ban,e,Ez itt egy klingesz.,Ott vagyunk a...,klingeszben,klingeszban,dzsungel,NA,NA
57,tranék,tranék,ban,é,Ez itt egy tranék.,Ott vagyunk a...,tranékben,tranékban,dzsungel,NA,NA
58,fojlegy,fojlegy,nak,e,Ez itt egy fojlegy.,Elneveztem a kutyámat...,fojlegynek,fojlegynak,dzsungel,NA,NA
59,gúden,gúden,ban,e,Ez itt egy gúden.,Ott vagyunk a...,gúdenben,gúdenban,dzsungel,NA,NA
60,klítegy,klítegy,nál,e,Ez itt egy klítegy.,Nincs is jobb egy jó...,klítegynél,klítegynál,dzsungel,NA,NA
61,spizec,spizec,nak,e,Ez itt egy spizec.,Elneveztem a kutyámat...,spizecnek,spizecnak,dzsungel,NA,NA
62,fájéz,fájéz,ban,é,Ez itt egy fájéz.,Ott vagyunk a...,fájézben,fájézban,dzsungel,NA,NA
63,navec,navec,ban,e,Ez itt egy navec.,Ott vagyunk a...,navecben,navecban,dzsungel,NA,NA
64,ronvet,ronvet,nak,e,Ez itt egy ronvet.,Elneveztem a kutyámat...,ronvetnek,ronvetnak,dzsungel,NA,NA
65,cságyelt,cságyelt,ban,e,Ez itt egy cságyelt.,Ott vagyunk a...,cságyeltben,cságyeltban,dzsungel,NA,NA
66,jóbec,jóbec,nak,e,Ez itt egy jóbec.,Elneveztem a kutyámat...,jóbecnek,jóbecnak,dzsungel,NA,NA
67,zsigén,zsigén,nál,é,Ez itt egy zsigén.,Nincs is jobb egy jó...,zsigénnél,zsigénnál,dzsungel,NA,NA
68,szanéj,szanéj,nak,é,Ez itt egy szanéj.,Elneveztem a kutyámat...,szanéjnek,szanéjnak,dzsungel,NA,NA
69,fupét,fupét,nál,é,Ez itt egy fupét.,Nincs is jobb egy jó...,fupétnél,fupétnál,dzsungel,NA,NA
70,sortem,sortem,nál,e,Ez itt egy sortem.,Nincs is jobb egy jó...,sortemnél,sortemnál,dzsungel,NA,NA
71,kalréz,kalréz,ban,é,Ez itt egy kalréz.,Ott vagyunk a...,kalrézben,kalrézban,dzsungel,NA,NA
72,nyamet,nyamet,ban,e,Ez itt egy nyamet.,Ott vagyunk a...,nyametben,nyametban,dzsungel,NA,NA
73,pítend,pítend,ban,e,Ez itt egy pítend.,Ott vagyunk a...,pítendben,pítendban,dzsungel,NA,NA
74,ikszert,ikszert,ban,e,Ez itt egy ikszert.,Ott vagyunk a...,ikszertben,ikszertban,dzsungel,NA,NA
75,dihely,dihely,nak,e,Ez itt egy dihely.,Elneveztem a kutyámat...,dihelynek,dihelynak,dzsungel,NA,NA
76,nyábét,nyábét,ban,é,Ez itt egy nyábét.,Ott vagyunk a...,nyábétben,nyábétban,dzsungel,NA,NA
77,sprízem,sprízem,nál,e,Ez itt egy sprízem.,Nincs is jobb egy jó...,sprízemnél,sprízemnál,dzsungel,NA,NA
78,csinték,csinték,ban,é,Ez itt egy csinték.,Ott vagyunk a...,csintékben,csintékban,dzsungel,NA,NA
79,kluhéj,kluhéj,nál,é,Ez itt egy kluhéj.,Nincs is jobb egy jó...,kluhéjnél,kluhéjnál,dzsungel,NA,NA
80,tosély,tosély,ban,é,Ez itt egy tosély.,Ott vagyunk a...,tosélyben,tosélyban,dzsungel,NA,NA
81,sporzem,sporzem,nak,e,Ez itt egy sporzem.,Elneveztem a kutyámat...,sporzemnek,sporzemnak,dzsungel,NA,NA
82,spivél,spivél,nak,é,Ez itt egy spivél.,Elneveztem a kutyámat...,spivélnek,spivélnak,dzsungel,NA,NA
83,tumély,tumély,nál,é,Ez itt egy tumély.,Nincs is jobb egy jó...,tumélynél,tumélynál,dzsungel,NA,NA
84,zarcég,zarcég,nál,é,Ez itt egy zarcég.,Nincs is jobb egy jó...,zarcégnél,zarcégnál,dzsungel,NA,NA
85,vorszen,vorszen,nál,e,Ez itt egy vorszen.,Nincs is jobb egy jó...,vorszennél,vorszennál,dzsungel,NA,NA
86,trigenc,trigenc,nak,e,Ez itt egy trigenc.,Elneveztem a kutyámat...,trigencnek,trigencnak,dzsungel,NA,NA
87,lingék,lingék,nál,é,Ez itt egy lingék.,Nincs is jobb egy jó...,lingéknél,lingéknál,dzsungel,NA,NA
88,spáten,spáten,nak,e,Ez itt egy spáten.,Elneveztem a kutyámat...,spátennek,spátennak,dzsungel,NA,NA
89,jábéz,jábéz,ban,é,Ez itt egy jábéz.,Ott vagyunk a...,jábézben,jábézban,dzsungel,NA,NA
90,rapszek,rapszek,nál,e,Ez itt egy rapszek.,Nincs is jobb egy jó...,rapszeknél,rapszeknál,dzsungel,NA,NA
91,giheszt,giheszt,nak,e,Ez itt egy giheszt.,Elneveztem a kutyámat...,gihesztnek,gihesztnak,dzsungel,NA,NA
92,kátéd,kátéd,nál,é,Ez itt egy kátéd.,Nincs is jobb egy jó...,kátédnél,kátédnál,dzsungel,NA,NA
93,garcép,garcép,nál,é,Ez itt egy garcép.,Nincs is jobb egy jó...,garcépnél,garcépnál,dzsungel,NA,NA
94,nidét,nidét,ban,é,Ez itt egy nidét.,Ott vagyunk a...,nidétben,nidétban,dzsungel,NA,NA
