onset	v1c1c2	v2c3c4	tr	word	target	keep_enough_distance	keep_no_overlap
¥	eml	iz	¥emlizik	nyemlizik	¥emliz	TRUE	TRUE
h	e†h	iz	he†hizik	hetyhizik	he†hiz	TRUE	TRUE
z	uml	űdz	zumlűdzik	zumlűdzik	zumlűdz	TRUE	TRUE
p	ó¬	úd	pó¬údik	pólyúdik	pó¬úd	TRUE	TRUE
z	öls	űz	zölsűzik	zölsűzik	zölsűz	TRUE	TRUE
l	ob	ud	lobudik	lobudik	lobud	TRUE	TRUE
p	étk	edz	pétkedzik	pétkedzik	pétkedz	TRUE	TRUE
m	ínl	eml	mínlemlik	mínlemlik	mínleml	TRUE	TRUE
d	ezd	érß	dezdérßik	dezdérszik	dezdérß	TRUE	TRUE
pr	űv	oz	prűvozik	prűvozik	prűvoz	TRUE	TRUE
fl	oh	uz	flohuzik	flohuzik	flohuz	TRUE	TRUE
k	ipr	ajl	kiprajlik	kiprajlik	kiprajl	TRUE	TRUE
p	ukl	ódz	puklódzik	puklódzik	puklódz	TRUE	TRUE
c	ögb	öz	cögbözik	cögbözik	cögböz	TRUE	TRUE
NA	ipr	érß	iprérßik	iprérszik	iprérß	TRUE	TRUE
bl	int	éz	blintézik	blintézik	blintéz	TRUE	TRUE
b	újh	óz	bújhózik	bújhózik	bújhóz	TRUE	TRUE
b	esl	égß	beslégßik	beslégszik	beslégß	TRUE	TRUE
ç	ol	onl	çolonlik	csolonlik	çolonl	TRUE	TRUE
tr	erz	iz	trerzizik	trerzizik	trerziz	TRUE	TRUE
sp	áç	adz	spáçadzik	spácsadzik	spáçadz	TRUE	TRUE
v	id	eng	videngik	videngik	videng	TRUE	TRUE
ç	il	akz	çilakzik	csilakzik	çilakz	TRUE	TRUE
s	av	apß	savapßik	savapszik	savapß	TRUE	TRUE
ß	as	á¥l	ßasá¥lik	szasánylik	ßasá¥l	TRUE	TRUE
p	at	agz	patagzik	patagzik	patagz	FALSE	TRUE
h	ámp	agl	hámpaglik	hámpaglik	hámpagl	TRUE	TRUE
fl	űz	o¥l	flűzo¥lik	flűzonylik	flűzo¥l	TRUE	TRUE
ß	a©	asl	ßa©aslik	szagyaslik	ßa©asl	TRUE	TRUE
n	ult	os	nultosik	nultosik	nultos	TRUE	TRUE
Ω	ig	agl	Ωigaglik	zsigaglik	Ωigagl	TRUE	TRUE
¥	iml	agß	¥imlagßik	nyimlagszik	¥imlagß	TRUE	TRUE
s	őrk	őz	sőrkőzik	sőrkőzik	sőrkőz	TRUE	TRUE
©	öls	örl	©ölsörlik	gyölsörlik	©ölsörl	TRUE	TRUE
NA	ol	óz	olózik	olózik	olóz	TRUE	TRUE
bl	ém	éz	blémézik	blémézik	bléméz	TRUE	TRUE
k	ugl	os	kuglosik	kuglosik	kuglos	TRUE	TRUE
c	ipr	akl	cipraklik	cipraklik	ciprakl	TRUE	TRUE
g	í¥l	az	gí¥lazik	gínylazik	gí¥laz	TRUE	TRUE
m	epr	esl	mepreslik	mepreslik	mepresl	TRUE	TRUE
h	olk	űz	holkűzik	holkűzik	holkűz	TRUE	FALSE
†	ag	at	†agatik	tyagatik	†agat	TRUE	TRUE
d	akn	arz	daknarzik	daknarzik	daknarz	TRUE	TRUE
n	ar	akl	naraklik	naraklik	narakl	TRUE	TRUE
bl	éh	edz	bléhedzik	bléhedzik	bléhedz	TRUE	TRUE
ß	ínl	arz	ßínlarzik	színlarzik	ßínlarz	TRUE	TRUE
ç	ud	osl	çudoslik	csudoslik	çudosl	TRUE	TRUE
ßt	ap	árz	ßtapárzik	sztapárzik	ßtapárz	TRUE	TRUE
c	arj	ágz	carjágzik	carjágzik	carjágz	TRUE	TRUE
s	op	űdz	sopűdzik	sopűdzik	sopűdz	TRUE	TRUE
b	ojt	okl	bojtoklik	bojtoklik	bojtokl	TRUE	TRUE
pr	at	akz	pratakzik	pratakzik	pratakz	FALSE	TRUE
f	eng	éß	fengéßik	fengészik	fengéß	TRUE	FALSE
ç	ül	öd	çülödik	csülödik	çülöd	TRUE	TRUE
l	esl	ékß	leslékßik	leslékszik	leslékß	TRUE	TRUE
©	iç	atl	©içatlik	gyicsatlik	©içatl	TRUE	TRUE
sm	e¥	én	sme¥énik	smenyénik	sme¥én	TRUE	TRUE
NA	ált	ajl	áltajlik	áltajlik	áltajl	TRUE	TRUE
tr	or	od	trorodik	trorodik	trorod	TRUE	TRUE
f	aßt	az	faßtazik	fasztazik	faßtaz	TRUE	FALSE
v	op	o¥l	vopo¥lik	voponylik	vopo¥l	TRUE	TRUE
c	is	akß	cisakßik	cisakszik	cisakß	TRUE	TRUE
Ω	aj	aml	Ωajamlik	zsajamlik	Ωajaml	TRUE	TRUE
h	erg	é¥l	hergé¥lik	hergénylik	hergé¥l	TRUE	TRUE
NA	e†h	egß	e†hegßik	etyhegszik	e†hegß	TRUE	TRUE
b	ac	atl	bacatlik	bacatlik	bacatl	TRUE	TRUE
h	ug	o¥l	hugo¥lik	hugonylik	hugo¥l	TRUE	TRUE
