my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list3.csv,space,41.7248,space,12.7442,right,9.2824,space,14.1803,left,5.5926,space,6.7028,left,10.3358,space,14.9119,bupézban,bupézben,right,10.4582,0,0,0,48,1,157,bupéz,bupéz,ban,é,Ez itt egy bupéz.,Ott vagyunk a...,bupézben,bupézban,dzsungel,NA,NA,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
,,,,,,,,,,,,,,,,,ronszekban,ronszekben,left,7.1788,0,1,1,18,1,127,ronszek,ronszek,ban,e,Ez itt egy ronszek.,Ott vagyunk a...,ronszekben,ronszekban,dzsungel,NA,NA,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
,,,,,,,,,,,,,,,,,prezlem,prezlek,right,6.2872,0,2,2,87,1,142,prezlik,prezlesz,NA,NA,Te bizony sokat prezlesz.,Én is sokat...,prezlek,prezlem,lakik,-lik,1,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
,,,,,,,,,,,,,,,,,vodecnál,vodecnél,right,5.8792,0,3,3,30,1,139,vodec,vodec,nál,e,Ez itt egy vodec.,Nincs is jobb egy jó...,vodecnél,vodecnál,dzsungel,NA,NA,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
,,,,,,,,,,,,,,,,,klarágzotok,klarágoztok,left,21.7989,0,4,4,114,1,115,klarágzik / klarágozik,"klarágzik, klarágozni",tek,NA,"János imád klarágozni, ezért sokat klarágzik.",Ti ritkán...,klarágzotok,klarágoztok,cselekszik,-zik,2,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
,,,,,,,,,,,,,,,,,trálszunk,trálodunk,left,12.2555,0,5,5,130,1,131,trálszik / trálodik,"trálszik, trálodni",ünk,NA,"János imád trálodni, ezért sokat trálszik.",Mi ritkán...,trálszunk,trálodunk,cselekszik,-szik,1,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
,,,,,,,,,,,,,,,,,sztredletek,sztredeztek,left,12.0092,0,6,6,145,1,146,sztredlik / sztredezik,"sztredlik, sztredezni",tek,NA,"János imád sztredezni, ezért sokat sztredlik.",Ti ritkán...,sztredletek,sztredeztek,cselekszik,-lik,1,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
,,,,,,,,,,,,,,,,,nyáslok,nyáslom,left,5.453,0,7,7,100,1,155,nyáslik,nyáslasz,NA,NA,Te bizony sokat nyáslasz.,Én is sokat...,nyáslok,nyáslom,lakik,-lik,1,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
,,,,,,,,,,,,,,,,,vurnelnak,vurnelnek,right,6.3549,0,8,8,50,1,159,vurnel,vurnel,nak,e,Ez itt egy vurnel.,Elneveztem a kutyámat...,vurnelnek,vurnelnak,dzsungel,NA,NA,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
,,,,,,,,,,,,,,,,,trivakodunk,trivakszunk,right,6.4921,0,9,9,118,1,119,trivakszik / trivakodik,"trivakszik, trivakodni",ünk,NA,"János imád trivakodni, ezért sokat trivakszik.",Mi ritkán...,trivakszunk,trivakodunk,cselekszik,-szik,2,2066,2001,nő,nem,2022-04-17_20h25.17.513,hesp_baseline,2021.2.3,Win32,59.17509912
