my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list1.csv,space,30.5337,space,4.0591,right,5.6667,space,7.4828,left,4.1468,space,5.8005,left,10.5754,space,11.7723,jalrénynél,jalrénynál,left,8.4677,0,0,0,0,1,1,jalrény,jalrény,nál,é,Ez itt egy jalrény.,Nincs is jobb egy jó...,jalrénynél,jalrénynál,dzsungel,NA,NA,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
,,,,,,,,,,,,,,,,,zsúdelnek,zsúdelnak,right,3.4115,0,1,1,14,1,15,zsúdel,zsúdel,nak,e,Ez itt egy zsúdel.,Elneveztem a kutyámat...,zsúdelnek,zsúdelnak,dzsungel,NA,NA,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
,,,,,,,,,,,,,,,,,kűdöznek,kűdlenek,right,5.7038,0,2,2,142,1,35,kűdlik / kűdözik,"kűdlik, kűdözni",nek,NA,"János imád kűdözni, ezért sokat kűdlik.",Ők ritkán...,kűdlenek,kűdöznek,cselekszik,-lik,1,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
,,,,,,,,,,,,,,,,,gyivádzom,gyivádzok,left,6.6769,0,3,3,87,1,34,gyivádzik,gyivádzol,NA,NA,Te bizony sokat gyivádzol.,Én is sokat...,gyivádzok,gyivádzom,lakik,-zik,2,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
,,,,,,,,,,,,,,,,,kliszernél,kliszernál,left,3.6467,0,4,4,31,1,32,kliszer,kliszer,nál,e,Ez itt egy kliszer.,Nincs is jobb egy jó...,kliszernél,kliszernál,dzsungel,NA,NA,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
,,,,,,,,,,,,,,,,,sprimlunk,sprimozunk,left,6.9113,0,5,5,127,1,20,sprimlik / sprimozik,"sprimlik, sprimozni",ünk,NA,"János imád sprimozni, ezért sokat sprimlik.",Mi ritkán...,sprimlunk,sprimozunk,cselekszik,-lik,1,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
,,,,,,,,,,,,,,,,,vodépnek,vodépnak,left,4.2894,0,6,6,41,1,42,vodép,vodép,nak,é,Ez itt egy vodép.,Elneveztem a kutyámat...,vodépnek,vodépnak,dzsungel,NA,NA,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
,,,,,,,,,,,,,,,,,dutecnál,dutecnél,right,2.9999,0,7,7,22,1,23,dutec,dutec,nál,e,Ez itt egy dutec.,Nincs is jobb egy jó...,dutecnél,dutecnál,dzsungel,NA,NA,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
,,,,,,,,,,,,,,,,,géregletek,géregeztek,right,16.1171,0,8,8,124,1,17,géreglik / géregezik,"géreglik, géregezni",tek,NA,"János imád géregezni, ezért sokat géreglik.",Ti ritkán...,géregletek,géregeztek,cselekszik,-lik,2,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
,,,,,,,,,,,,,,,,,pivédban,pivédben,right,4.2604,0,9,9,52,1,53,pivéd,pivéd,ban,é,Ez itt egy pivéd.,Ott vagyunk a...,pivédben,pivédban,dzsungel,NA,NA,PR2009,1998,nő,nem,2022-04-04_20h33.02.806,hesp_baseline,2021.2.3,Win32,59.94125757
