my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list1.csv,space,19.1474,space,5.7547,right,9.2701,space,12.6992,right,6.7633,space,6.6583,right,9.0591,space,11.8464,drügzök,drügzöm,right,9.8548,0,0,0,72,1,19,drügzik,drügzöl,NA,NA,Te bizony sokat drügzöl.,Én is sokat...,drügzök,drügzöm,lakik,-zik,1,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
,,,,,,,,,,,,,,,,,fádensnek,fádensnak,left,5.8467,0,1,1,33,1,34,fádens,fádens,nak,e,Ez itt egy fádens.,Elneveztem a kutyámat...,fádensnek,fádensnak,dzsungel,NA,NA,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
,,,,,,,,,,,,,,,,,gonszéknél,gonszéknál,right,5.0629,0,2,2,38,1,39,gonszék,gonszék,nál,é,Ez itt egy gonszék.,Nincs is jobb egy jó...,gonszéknél,gonszéknál,dzsungel,NA,NA,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
,,,,,,,,,,,,,,,,,darhénben,darhénban,right,5.8828,0,3,3,27,1,28,darhén,darhén,ban,é,Ez itt egy darhén.,Ott vagyunk a...,darhénben,darhénban,dzsungel,NA,NA,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
,,,,,,,,,,,,,,,,,pebzek,pebzem,right,3.8161,0,4,4,57,1,4,pebzik,pebzel,NA,NA,Te bizony sokat pebzel.,Én is sokat...,pebzek,pebzem,lakik,-zik,1,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
,,,,,,,,,,,,,,,,,hosétnek,hosétnak,right,4.7836,0,5,5,8,1,9,hosét,hosét,nak,é,Ez itt egy hosét.,Elneveztem a kutyámat...,hosétnek,hosétnak,dzsungel,NA,NA,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
,,,,,,,,,,,,,,,,,pekszünk,pekedünk,left,4.8654,0,6,6,161,1,54,pekszik / pekedik,"pekszik, pekedni",ünk,NA,"János imád pekedni, ezért sokat pekszik.",Mi ritkán...,pekszünk,pekedünk,cselekszik,-szik,1,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
,,,,,,,,,,,,,,,,,píjlom,píjlok,left,3.666,0,7,7,75,1,22,píjlik,píjlasz,NA,NA,Te bizony sokat píjlasz.,Én is sokat...,píjlok,píjlom,lakik,-lik,1,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
,,,,,,,,,,,,,,,,,spibaklok,spibaklom,right,6.3519,0,8,8,55,1,2,spibaklik,spibaklasz,NA,NA,Te bizony sokat spibaklasz.,Én is sokat...,spibaklok,spibaklom,lakik,-lik,2,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
,,,,,,,,,,,,,,,,,buhényben,buhényban,left,2.7143,0,9,9,43,1,44,buhény,buhény,ban,é,Ez itt egy buhény.,Ott vagyunk a...,buhényben,buhényban,dzsungel,NA,NA,PR2055,1985,nő,nem,2022-04-14_09h44.16.379,hesp_baseline,2021.2.3,Win32,59.35422602
