my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list1.csv,space,12.0597,space,7.5807,right,5.9288,space,10.0959,left,3.1265,space,7.0332,left,4.3384,space,73.8127,frágapszom,frágapszok,left,4.6382,0,0,0,60,1,7,frágapszik,frágapszol,NA,NA,Te bizony sokat frágapszol.,Én is sokat...,frágapszok,frágapszom,lakik,-szik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,sprédlek,sprédlem,left,3.2486,0,1,1,70,1,17,sprédlik,sprédlesz,NA,NA,Te bizony sokat sprédlesz.,Én is sokat...,sprédlek,sprédlem,lakik,-lik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,klaráglom,klaráglok,right,2.7164,0,2,2,91,1,38,klaráglik,klaráglasz,NA,NA,Te bizony sokat klaráglasz.,Én is sokat...,klaráglok,klaráglom,lakik,-lik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,nyülöklenek,nyülököznek,left,15.3415,0,3,3,108,1,1,nyülöklik / nyülöközik,"nyülöklik, nyülöközni",nek,NA,"János imád nyülöközni, ezért sokat nyülöklik.",Ők ritkán...,nyülöklenek,nyülököznek,cselekszik,-lik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,pöröztök,pörzötök,left,3.8118,0,4,4,153,1,46,pörzik / pörözik,"pörzik, pörözni",tek,NA,"János imád pörözni, ezért sokat pörzik.",Ti ritkán...,pörzötök,pöröztök,cselekszik,-zik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,drűröznek,drűrzenek,right,2.1058,0,5,5,126,1,19,drűrzik / drűrözik,"drűrzik, drűrözni",nek,NA,"János imád drűrözni, ezért sokat drűrzik.",Ők ritkán...,drűrzenek,drűröznek,cselekszik,-zik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,préleglek,préleglem,right,4.0235,0,6,6,104,1,51,préleglik,préleglesz,NA,NA,Te bizony sokat préleglesz.,Én is sokat...,préleglek,préleglem,lakik,-lik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,spibádzok,spibádzom,right,3.3752,0,7,7,65,1,12,spibádzik,spibádzol,NA,NA,Te bizony sokat spibádzol.,Én is sokat...,spibádzok,spibádzom,lakik,-zik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,pítszok,pítszom,right,3.26,0,8,8,62,1,9,pítszik,pítszol,NA,NA,Te bizony sokat pítszol.,Én is sokat...,pítszok,pítszom,lakik,-szik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,jukélnél,jukélnál,left,3.091,0,9,9,42,1,43,jukél,jukél,nál,é,Ez itt egy jukél.,Nincs is jobb egy jó...,jukélnél,jukélnál,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,bölszöm,bölszök,left,3.7414,0,10,10,105,1,52,bölszik,bölszöl,NA,NA,Te bizony sokat bölszöl.,Én is sokat...,bölszök,bölszöm,lakik,-szik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,bralképben,bralképban,left,34.4053,0,11,11,12,1,13,bralkép,bralkép,ban,é,Ez itt egy bralkép.,Ott vagyunk a...,bralképben,bralképban,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,plűbzöm,plűbzök,left,1.9938,0,12,12,107,1,54,plűbzik,plűbzöl,NA,NA,Te bizony sokat plűbzöl.,Én is sokat...,plűbzök,plűbzöm,lakik,-zik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,matézben,matézban,right,1.9083,0,13,13,37,1,38,matéz,matéz,ban,é,Ez itt egy matéz.,Ott vagyunk a...,matézben,matézban,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,csarténynek,csarténynak,right,0.9419,0,14,14,36,1,37,csartény,csartény,nak,é,Ez itt egy csartény.,Elneveztem a kutyámat...,csarténynek,csarténynak,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,vodépnek,vodépnak,left,1.0434,0,15,15,41,1,42,vodép,vodép,nak,é,Ez itt egy vodép.,Elneveztem a kutyámat...,vodépnek,vodépnak,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,frélegzünk,frélegezünk,left,0.5227,0,16,16,147,1,40,frélegzik / frélegezik,"frélegzik, frélegezni",ünk,NA,"János imád frélegezni, ezért sokat frélegzik.",Mi ritkán...,frélegzünk,frélegezünk,cselekszik,-zik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,dirányoznak,diránylanak,right,0.3408,0,17,17,122,1,15,diránylik / dirányozik,"diránylik, dirányozni",nek,NA,"János imád dirányozni, ezért sokat diránylik.",Ők ritkán...,diránylanak,dirányoznak,cselekszik,-lik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,zsúdelnek,zsúdelnak,right,0.3238,0,18,18,14,1,15,zsúdel,zsúdel,nak,e,Ez itt egy zsúdel.,Elneveztem a kutyámat...,zsúdelnek,zsúdelnak,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,géregletek,géregeztek,left,0.7263,0,19,19,124,1,17,géreglik / géregezik,"géreglik, géregezni",tek,NA,"János imád géregezni, ezért sokat géreglik.",Ti ritkán...,géregletek,géregeztek,cselekszik,-lik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,klörlöm,klörlök,right,0.3242,0,20,20,80,1,27,klörlik,klörlesz,NA,NA,Te bizony sokat klörlesz.,Én is sokat...,klörlök,klörlöm,lakik,-lik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,trukodtok,trukszotok,right,0.8233,0,21,21,157,1,50,trukszik / trukodik,"trukszik, trukodni",tek,NA,"János imád trukodni, ezért sokat trukszik.",Ti ritkán...,trukszotok,trukodtok,cselekszik,-szik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,spicetnek,spicetnak,right,0.5926,0,22,22,35,1,36,spicet,spicet,nak,e,Ez itt egy spicet.,Elneveztem a kutyámat...,spicetnek,spicetnak,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,málapszom,málapszok,left,0.5083,0,23,23,66,1,13,málapszik,málapszol,NA,NA,Te bizony sokat málapszol.,Én is sokat...,málapszok,málapszom,lakik,-szik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,huklom,huklok,right,0.365,0,24,24,78,1,25,huklik,huklasz,NA,NA,Te bizony sokat huklasz.,Én is sokat...,huklok,huklom,lakik,-lik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,jalrénynél,jalrénynál,right,0.4658,0,25,25,0,1,1,jalrény,jalrény,nál,é,Ez itt egy jalrény.,Nincs is jobb egy jó...,jalrénynél,jalrénynál,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,hosétnek,hosétnak,right,1.249,0,26,26,8,1,9,hosét,hosét,nak,é,Ez itt egy hosét.,Elneveztem a kutyámat...,hosétnek,hosétnak,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,livaklom,livaklok,left,2.7078,0,27,27,82,1,29,livaklik,livaklasz,NA,NA,Te bizony sokat livaklasz.,Én is sokat...,livaklok,livaklom,lakik,-lik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,brobódzok,brobódzom,right,1.3667,0,28,28,96,1,43,brobódzik,brobódzol,NA,NA,Te bizony sokat brobódzol.,Én is sokat...,brobódzok,brobódzom,lakik,-zik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,vihapodunk,vihapszunk,right,1.8904,0,29,29,112,1,5,vihapszik / vihapodik,"vihapszik, vihapodni",ünk,NA,"János imád vihapodni, ezért sokat vihapszik.",Mi ritkán...,vihapszunk,vihapodunk,cselekszik,-szik,2,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,pisélyban,pisélyben,right,4.5082,0,30,30,21,1,22,pisély,pisély,ban,é,Ez itt egy pisély.,Ott vagyunk a...,pisélyben,pisélyban,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,drügzök,drügzöm,right,9.5621,0,31,31,72,1,19,drügzik,drügzöl,NA,NA,Te bizony sokat drügzöl.,Én is sokat...,drügzök,drügzöm,lakik,-zik,1,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
,,,,,,,,,,,,,,,,,fágyépnál,fágyépnél,right,31.6893,0,32,32,10,1,11,fágyép,fágyép,nál,é,Ez itt egy fágyép.,Nincs is jobb egy jó...,fágyépnél,fágyépnál,dzsungel,NA,NA,nincsen,2000,nő,nem,2022-04-01_13h59.34.312,hesp_baseline,2021.2.3,Win32,60.82725061
