my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list1.csv,space,22.0666,space,10.9006,right,12.143,space,44.8346,left,42.1025,space,13.9653,left,12.8554,space,31.0974,flagárzom,flagárzok,right,12.4987,0,0,0,64,1,11,flagárzik,flagárzol,NA,NA,Te bizony sokat flagárzol.,Én is sokat...,flagárzok,flagárzom,lakik,-zik,2,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,mísozunk,míslunk,left,11.4832,0,1,1,123,1,16,míslik / mísozik,"míslik, mísozni",ünk,NA,"János imád mísozni, ezért sokat míslik.",Mi ritkán...,míslunk,mísozunk,cselekszik,-lik,1,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,brülösözünk,brülöslünk,right,50.6378,0,2,2,109,1,2,brülöslik / brülösözik,"brülöslik, brülösözni",ünk,NA,"János imád brülösözni, ezért sokat brülöslik.",Mi ritkán...,brülöslünk,brülösözünk,cselekszik,-lik,2,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,lumézban,lumézben,left,9.4535,0,3,3,32,1,33,luméz,luméz,ban,é,Ez itt egy luméz.,Ott vagyunk a...,lumézben,lumézban,dzsungel,NA,NA,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,tivencban,tivencben,right,7.144,0,4,4,53,1,54,tivenc,tivenc,ban,e,Ez itt egy tivenc.,Ott vagyunk a...,tivencben,tivencban,dzsungel,NA,NA,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,spihemlek,spihemlem,left,9.9347,0,5,5,94,1,41,spihemlik,spihemlesz,NA,NA,Te bizony sokat spihemlesz.,Én is sokat...,spihemlek,spihemlem,lakik,-lik,2,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,brarlok,brarlom,left,11.3561,0,6,6,71,1,18,brarlik,brarlasz,NA,NA,Te bizony sokat brarlasz.,Én is sokat...,brarlok,brarlom,lakik,-lik,1,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,dutecnál,dutecnél,left,59.2287,0,7,7,22,1,23,dutec,dutec,nál,e,Ez itt egy dutec.,Nincs is jobb egy jó...,dutecnél,dutecnál,dzsungel,NA,NA,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,plűbzöm,plűbzök,right,14.5648,0,8,8,107,1,54,plűbzik,plűbzöl,NA,NA,Te bizony sokat plűbzöl.,Én is sokat...,plűbzök,plűbzöm,lakik,-zik,1,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,jurlunk,jurozunk,left,22.3461,0,9,9,111,1,4,jurlik / jurozik,"jurlik, jurozni",ünk,NA,"János imád jurozni, ezért sokat jurlik.",Mi ritkán...,jurlunk,jurozunk,cselekszik,-lik,1,PR2039,1979,nő,nem,2022-04-18_21h58.02.191,hesp_baseline,2021.2.3,Win32,60.0024001
