my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
list2.csv,space,51.3097,space,9.1338,right,13.9368,space,11.2329,left,11.2335,space,8.85,left,5.7599,space,14.3492,prihegszenek,prihegednek,right,18.3337,0,0,0,155,1,102,prihegszik / prihegedik,"prihegszik, prihegedni",nek,NA,"János imád prihegedni, ezért sokat prihegszik.",Ők ritkán...,prihegszenek,prihegednek,cselekszik,-szik,2,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
,,,,,,,,,,,,,,,,,fibamlom,fibamlok,right,11.5206,0,1,1,65,1,66,fibamlik,fibamlasz,NA,NA,Te bizony sokat fibamlasz.,Én is sokat...,fibamlok,fibamlom,lakik,-lik,2,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
,,,,,,,,,,,,,,,,,fluboklotok,flubokoztok,right,26.9243,0,2,2,151,1,98,fluboklik / flubokozik,"fluboklik, flubokozni",tek,NA,"János imád flubokozni, ezért sokat fluboklik.",Ti ritkán...,fluboklotok,flubokoztok,cselekszik,-lik,2,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
,,,,,,,,,,,,,,,,,fupétnél,fupétnál,right,16.6503,0,3,3,14,1,69,fupét,fupét,nál,é,Ez itt egy fupét.,Nincs is jobb egy jó...,fupétnél,fupétnál,dzsungel,NA,NA,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
,,,,,,,,,,,,,,,,,flüröslök,flüröslöm,right,20.2333,0,4,4,87,1,88,flüröslik,flüröslesz,NA,NA,Te bizony sokat flüröslesz.,Én is sokat...,flüröslök,flüröslöm,lakik,-lik,2,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
,,,,,,,,,,,,,,,,,spügzünk,spügözünk,left,7.2672,0,5,5,143,1,90,spügzik / spügözik,"spügzik, spügözni",ünk,NA,"János imád spügözni, ezért sokat spügzik.",Mi ritkán...,spügzünk,spügözünk,cselekszik,-zik,1,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
,,,,,,,,,,,,,,,,,pratelynek,pratelynak,left,38.8855,0,6,6,47,1,102,prately,prately,nak,e,Ez itt egy prately.,Elneveztem a kutyámat...,pratelynek,pratelynak,dzsungel,NA,NA,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
,,,,,,,,,,,,,,,,,branyoznak,branylanak,right,6.0859,0,7,7,136,1,83,branylik / branyozik,"branylik, branyozni",nek,NA,"János imád branyozni, ezért sokat branylik.",Ők ritkán...,branylanak,branyoznak,cselekszik,-lik,1,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
,,,,,,,,,,,,,,,,,spibegezünk,spibeglünk,right,9.7399,0,8,8,147,1,94,spibeglik / spibegezik,"spibeglik, spibegezni",ünk,NA,"János imád spibegezni, ezért sokat spibeglik.",Mi ritkán...,spibeglünk,spibegezünk,cselekszik,-lik,2,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
,,,,,,,,,,,,,,,,,szanéjnak,szanéjnek,left,20.7554,0,9,9,13,1,68,szanéj,szanéj,nak,é,Ez itt egy szanéj.,Elneveztem a kutyámat...,szanéjnek,szanéjnak,dzsungel,NA,NA,PR2057,2001,nő,nem,2022-04-14_15h31.23.031,hesp_baseline,2021.2.3,Win32,60.0132029
