dat_id	part_id	part_gender	part_yob	part_edu	list_number	trial_kind	trial_index	stimulus	choice1	choice2	variant1	variant2	response	response_string	picked_v1	picked_left	esp_response	esp_match	esp_v1	rt	variation	file_name	column	base	log_odds	prompt	nsyl	suffix	sample_number	word_rank	top_20	bottom_20	picked_majority	bot_variant_preference	bot_lexical_direction
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	11	Te bizony sokat csólorzol. Én is sokat...	csólorzok	csólorzom	csólorzok	csólorzom	1	csólorzom	FALSE	FALSE	csólorzok	FALSE	TRUE	6917	lakok/lakom	lakok_3_low_reversed	23	csólorzik	-0.5978370007556204	Te bizony sokat csólorzol. Én is sokat...	2	NA	3	47	FALSE	TRUE	TRUE	var2	upwards
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	13	Te bizony sokat spülöklesz. Én is sokat...	spülöklöm	spülöklök	spülöklök	spülöklöm	1	spülöklök	TRUE	FALSE	spülöklök	TRUE	TRUE	4874	lakok/lakom	lakok_3_low_reversed	23	spülöklik	0.28768207245178085	Te bizony sokat spülöklesz. Én is sokat...	2	NA	3	26	FALSE	FALSE	FALSE	var2	upwards
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	15	Te bizony sokat préleglesz. Én is sokat...	préleglem	préleglek	préleglek	préleglem	1	préleglek	TRUE	FALSE	préleglek	TRUE	TRUE	4254	lakok/lakom	lakok_3_low_reversed	23	préleglik	0.6418538861723947	Te bizony sokat préleglesz. Én is sokat...	2	NA	3	19	FALSE	FALSE	FALSE	var2	upwards
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	17	Te bizony sokat vűjlesz. Én is sokat...	vűjlök	vűjlöm	vűjlök	vűjlöm	0	vűjlök	TRUE	TRUE	vűjlöm	FALSE	FALSE	3730	lakok/lakom	lakok_3_low_reversed	23	vűjlik	1.0986122886681098	Te bizony sokat vűjlesz. Én is sokat...	1	NA	3	8	TRUE	FALSE	FALSE	var2	upwards
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	19	Te bizony sokat fivénylesz. Én is sokat...	fivénylem	fivénylek	fivénylek	fivénylem	1	fivénylek	TRUE	FALSE	fivénylek	TRUE	TRUE	3231	lakok/lakom	lakok_3_low_reversed	23	fivénylik	0.7419373447293773	Te bizony sokat fivénylesz. Én is sokat...	2	NA	3	16	FALSE	FALSE	FALSE	var2	upwards
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	21	Te bizony sokat szűslesz. Én is sokat...	szűslök	szűslöm	szűslök	szűslöm	0	szűslök	TRUE	TRUE	szűslöm	FALSE	FALSE	7417	lakok/lakom	lakok_3_low_reversed	23	szűslik	0.8938178760220965	Te bizony sokat szűslesz. Én is sokat...	1	NA	3	13	TRUE	FALSE	FALSE	var2	upwards
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	23	Te bizony sokat bivejlesz. Én is sokat...	bivejlek	bivejlem	bivejlek	bivejlem	0	bivejlek	TRUE	TRUE	bivejlem	FALSE	FALSE	3803	lakok/lakom	lakok_3_low_reversed	23	bivejlik	0.7472144018302211	Te bizony sokat bivejlesz. Én is sokat...	2	NA	3	14	TRUE	FALSE	FALSE	var2	upwards
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	25	Te bizony sokat péleslesz. Én is sokat...	péleslek	péleslem	péleslek	péleslem	1	péleslem	FALSE	FALSE	péleslek	FALSE	TRUE	2838	lakok/lakom	lakok_3_low_reversed	23	péleslik	0.7419373447293773	Te bizony sokat péleslesz. Én is sokat...	2	NA	3	17	FALSE	FALSE	TRUE	var2	upwards
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	27	Te bizony sokat spüszlesz. Én is sokat...	spüszlök	spüszlöm	spüszlök	spüszlöm	0	spüszlök	TRUE	TRUE	spüszlök	TRUE	TRUE	2979	lakok/lakom	lakok_3_low_reversed	23	spüszlik	0.14310084364067324	Te bizony sokat spüszlesz. Én is sokat...	1	NA	3	28	FALSE	FALSE	FALSE	var2	upwards
hesp_ESP-DEMO_SESSION_2022-10-06_20h03.31.924.csv	5ff57a85a7a8b7000bf3a381	Férfi	2001	14	10	esp trial	29	Te bizony sokat tuboklasz. Én is sokat...	tuboklok	tuboklom	tuboklok	tuboklom	0	tuboklok	TRUE	TRUE	tuboklok	TRUE	TRUE	5144	lakok/lakom	lakok_3_low_reversed	23	tuboklik	0.4353180712578455	Te bizony sokat tuboklasz. Én is sokat...	2	NA	3	24	FALSE	FALSE	FALSE	var2	upwards
