dat_id	record_date	part_id	part_gender	part_yob	part_edu	list_number	trial_kind	trial_index	stimulus	choice1	choice2	response	response_string	esp_response	esp_match	rt	time_elapsed	file_name	variation	column	base	log_odds	variant1	variant2	nsyl	suffix	sample_number	word_rank	top_20	bottom_20	reg_rate	reg_dist	picked_left	picked_v1	esp_v1	picked_majority
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	11	Te bizony sokat sojzol. Én is sokat...	sojzok	sojzom	0	sojzok	sojzok	TRUE	3789	117693	lakok_1_low_reversed	lakok/lakom	27	sojzik	-0.4595323293784402	sojzok	sojzom	1	NA	1	46	FALSE	TRUE	low	reversed	TRUE	TRUE	TRUE	FALSE
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	13	Te bizony sokat szirlasz. Én is sokat...	szirlok	szirlom	0	szirlok	szirlom	FALSE	2726	129621	lakok_1_low_reversed	lakok/lakom	27	szirlik	0.7419373447293773	szirlok	szirlom	1	NA	1	18	FALSE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	15	Te bizony sokat klörlesz. Én is sokat...	klörlöm	klörlök	1	klörlök	klörlöm	FALSE	4883	141537	lakok_1_low_reversed	lakok/lakom	27	klörlik	0.6418538861723947	klörlök	klörlöm	1	NA	1	19	FALSE	FALSE	low	reversed	FALSE	TRUE	FALSE	FALSE
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	17	Te bizony sokat pivegszel. Én is sokat...	pivegszem	pivegszek	0	pivegszem	pivegszek	FALSE	4186	153456	lakok_1_low_reversed	lakok/lakom	27	pivegszik	-0.8938178760220964	pivegszek	pivegszem	2	NA	1	53	FALSE	TRUE	low	reversed	TRUE	FALSE	TRUE	TRUE
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	19	Te bizony sokat marzol. Én is sokat...	marzom	marzok	1	marzok	marzom	FALSE	4220	165372	lakok_1_low_reversed	lakok/lakom	27	marzik	0.7985076962177716	marzok	marzom	1	NA	1	14	TRUE	FALSE	low	reversed	FALSE	TRUE	FALSE	FALSE
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	21	Te bizony sokat ribegzel. Én is sokat...	ribegzek	ribegzem	1	ribegzem	ribegzem	TRUE	2010	177297	lakok_1_low_reversed	lakok/lakom	27	ribegzik	-0.1941560144409575	ribegzek	ribegzem	2	NA	1	38	FALSE	FALSE	low	reversed	FALSE	FALSE	FALSE	TRUE
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	23	Te bizony sokat sűzlesz. Én is sokat...	sűzlök	sűzlöm	1	sűzlöm	sűzlöm	TRUE	1725	189210	lakok_1_low_reversed	lakok/lakom	27	sűzlik	0.14310084364067324	sűzlök	sűzlöm	1	NA	1	29	FALSE	FALSE	low	reversed	FALSE	FALSE	FALSE	TRUE
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	25	Te bizony sokat brüjlesz. Én is sokat...	brüjlöm	brüjlök	0	brüjlöm	brüjlöm	TRUE	1599	201126	lakok_1_low_reversed	lakok/lakom	27	brüjlik	0.7472144018302211	brüjlök	brüjlöm	1	NA	1	15	TRUE	FALSE	low	reversed	TRUE	FALSE	FALSE	TRUE
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	27	Te bizony sokat flüröslesz. Én is sokat...	flüröslök	flüröslöm	1	flüröslöm	flüröslöm	TRUE	1907	213038	lakok_1_low_reversed	lakok/lakom	27	flüröslik	0.7419373447293773	flüröslök	flüröslöm	2	NA	1	17	FALSE	FALSE	low	reversed	FALSE	FALSE	FALSE	TRUE
hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	29	Te bizony sokat siladzol. Én is sokat...	siladzok	siladzom	1	siladzom	siladzok	FALSE	2249	224967	lakok_1_low_reversed	lakok/lakom	27	siladzik	-0.4353180712578455	siladzok	siladzom	2	NA	1	45	FALSE	TRUE	low	reversed	FALSE	FALSE	TRUE	TRUE
