lemma	xpostag	corpus_size	lemma_freq
van	[/V][Prs.NDef.3Sg]	8570080167	96573532
kell	[/V][Prs.NDef.3Sg]	8570080167	28972884
lesz	[/V][Prs.NDef.3Sg]	8570080167	26540277
nincs	[/V][Prs.NDef.3Sg]	8570080167	8328088
áll	[/V][Prs.NDef.3Sg]	8570080167	7886892
fog	[/V][Prs.NDef.3Sg]	8570080167	8918091
kerül	[/V][Prs.NDef.3Sg]	8570080167	8883916
tud	[/V][Prs.NDef.3Sg]	8570080167	23791975
jelent	[/V][Prs.NDef.3Sg]	8570080167	6046405
ad	[/V][Prs.NDef.3Sg]	8570080167	10235182
történik	[/V][Prs.NDef.3Sg]	8570080167	4203497
jön	[/V][Prs.NDef.3Sg]	8570080167	5759153
jár	[/V][Prs.NDef.3Sg]	8570080167	4673876
megy	[/V][Prs.NDef.3Sg]	8570080167	7392584
működik	[/V][Prs.NDef.3Sg]	8570080167	2488856
marad	[/V][Prs.NDef.3Sg]	8570080167	4545149
szól	[/V][Prs.NDef.3Sg]	8570080167	3049959
tart	[/V][Prs.NDef.3Sg]	8570080167	8319452
tűnik	[/V][Prs.NDef.3Sg]	8570080167	2079177
akar	[/V][Prs.NDef.3Sg]	8570080167	6374617
tartozik	[/V][Prs.NDef.3Sg]	8570080167	2020739
válik	[/V][Prs.NDef.3Sg]	8570080167	4028540
tesz	[/V][Prs.NDef.3Sg]	8570080167	13867595
kap	[/V][Prs.NDef.3Sg]	8570080167	8354153
tartalmaz	[/V][Prs.NDef.3Sg]	8570080167	2880728
él	[/V][Prs.NDef.3Sg]	8570080167	5123954
sincs	[/V][Prs.NDef.3Sg]	8570080167	1030267
segít	[/V][Prs.NDef.3Sg]	8570080167	4682124
nyújt	[/V][Prs.NDef.3Sg]	8570080167	2651144
szerepel	[/V][Prs.NDef.3Sg]	8570080167	1955482
látszik	[/V][Prs.NDef.3Sg]	8570080167	1217735
számít	[/V][Prs.NDef.3Sg]	8570080167	2352559
jut	[/V][Prs.NDef.3Sg]	8570080167	3606208
vesz	[/V][Prs.NDef.3Sg]	8570080167	11427201
létezik	[/V][Prs.NDef.3Sg]	8570080167	1297361
szabad	[/V][Prs.NDef.3Sg]	8570080167	2904813
biztosít	[/V][Prs.NDef.3Sg]	8570080167	3548857
készül	[/V][Prs.NDef.3Sg]	8570080167	3312076
indul	[/V][Prs.NDef.3Sg]	8570080167	2806151
dolgozik	[/V][Prs.NDef.3Sg]	8570080167	3627092
vezet	[/V][Prs.NDef.3Sg]	8570080167	2841210
tetszik	[/V][Prs.NDef.3Sg]	8570080167	1498478
ér	[/V][Prs.NDef.3Sg]	8570080167	4510897
lép	[/V][Prs.NDef.3Sg]	8570080167	2399166
megvan	[/V][Prs.NDef.3Sg]	8570080167	1061010
függ	[/V][Prs.NDef.3Sg]	8570080167	715440
